State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
SA,ADELAIDE AIRPORT,5950,Hindmarsh,,
SA,ALBERT PARK,5014,Hindmarsh,,
SA,ALBERTON,5014,Hindmarsh,,
SA,ATHOL PARK,5012,Hindmarsh,,
SA,BEVERLEY,5009,Hindmarsh,,
SA,BIRKENHEAD,5015,Hindmarsh,,
SA,BROOKLYN PARK,5032,Hindmarsh,,
SA,CAMDEN PARK,5038,Hindmarsh,,
SA,CHELTENHAM,5014,Hindmarsh,,
SA,ETHELTON,5015,Hindmarsh,,
SA,EXETER,5019,Hindmarsh,,
SA,FINDON,5023,Hindmarsh,,
SA,FLINDERS PARK,5025,Hindmarsh,,
SA,FULHAM,5024,Hindmarsh,,
SA,FULHAM GARDENS,5024,Hindmarsh,,
SA,GARDEN ISLAND,5015,Hindmarsh,,
SA,GILLMAN,5013,Hindmarsh,,
SA,GLANVILLE,5015,Hindmarsh,,
SA,GLENELG NORTH,5045,Hindmarsh,,
SA,GRANGE,5022,Hindmarsh,,
123,123,123,123,123.0,123.0
1,2,3,,,
SA,HENDON,5014,Hindmarsh,,
SA,HENLEY BEACH,5022,Hindmarsh,,
SA,HENLEY BEACH SOUTH,5022,Hindmarsh,,
SA,KIDMAN PARK,5025,Hindmarsh,,
SA,LARGS BAY,5016,Hindmarsh,,
SA,LARGS NORTH,5016,Hindmarsh,,
SA,LOCKLEYS,5032,Hindmarsh,,
SA,NETLEY,5037,Hindmarsh,,
SA,NEW PORT,5015,Hindmarsh,,
SA,NORTH HAVEN,5018,Hindmarsh,,
SA,NORTH PLYMPTON,5037,Hindmarsh,,
SA,NOVAR GARDENS,5040,Hindmarsh,,
SA,OSBORNE,5017,Hindmarsh,,
SA,OTTOWAY,5013,Hindmarsh,,
SA,OUTER HARBOR,5018,Hindmarsh,,
SA,PENNINGTON,5013,Hindmarsh,,
SA,PETERHEAD,5016,Hindmarsh,,
SA,PLYMPTON,5038,Hindmarsh,,
SA,PORT ADELAIDE,5015,Hindmarsh,,
SA,QUEENSTOWN,5014,Hindmarsh,,
123,123,123,123,123.0,123.0
1,2,3,,,
SA,ROSEWATER,5013,Hindmarsh,,
SA,ROYAL PARK,5014,Hindmarsh,,
SA,SEATON,5023,Hindmarsh,,
SA,SEMAPHORE,5019,Hindmarsh,,
SA,SEMAPHORE PARK,5019,Hindmarsh,,
SA,SEMAPHORE SOUTH,5019,Hindmarsh,,
SA,ST CLAIR,5011,Hindmarsh,,
SA,TAPEROO,5017,Hindmarsh,,
SA,TENNYSON,5022,Hindmarsh,,
SA,UNDERDALE,5032,Hindmarsh,,
SA,WEST BEACH,5024,Hindmarsh,,
SA,WEST LAKES,5021,Hindmarsh,,
SA,WEST LAKES SHORE,5020,Hindmarsh,,
SA,WEST RICHMOND,5033,Hindmarsh,,
SA,WINGFIELD,5013,Hindmarsh,,
SA,WOODVILLE,5011,Hindmarsh,,
SA,WOODVILLE NORTH,5012,Hindmarsh,,
SA,WOODVILLE PARK,5011,Hindmarsh,,
SA,WOODVILLE SOUTH,5011,Hindmarsh,,
SA,WOODVILLE WEST,5011,Hindmarsh,,
123,123,123,123,123.0,123.0
1,2,3,,,
