State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
QLD,ABINGTON,4660,Hinkler,,
QLD,ALDERSHOT,4650,Hinkler,,
QLD,ALLOWAY,4670,Hinkler,,
QLD,APPLE TREE CREEK,4660,Hinkler,,
QLD,ASHFIELD,4670,Hinkler,,
QLD,AVENELL HEIGHTS,4670,Hinkler,,
QLD,AVOCA,4670,Hinkler,,
QLD,BARGARA,4670,Hinkler,,
QLD,BEELBI CREEK,4659,Hinkler,,
QLD,BOORAL,4655,Hinkler,,
QLD,BOOYAL,4671,Hinkler,,
QLD,BRANYAN,4670,Hinkler,,
QLD,BUNDABERG,4670,Hinkler,,
QLD,BUNDABERG CENTRAL,4670,Hinkler,,
QLD,BUNDABERG EAST,4670,Hinkler,,
QLD,BUNDABERG NORTH,4670,Hinkler,,
QLD,BUNDABERG SOUTH,4670,Hinkler,,
QLD,BUNDABERG WEST,4670,Hinkler,,
QLD,BUNYA CREEK,4655,Hinkler,,
QLD,BURGOWAN,4659,Hinkler,,
12345,12345,12345,12345,12345.0,12345.0
1,2,3,4,5.0,
QLD,BURNETT HEADS,4670,Hinkler,,
QLD,BURRUM HEADS,4659,Hinkler,,
QLD,BURRUM RIVER,4659,Hinkler,,
QLD,BURRUM TOWN,4659,Hinkler,,
QLD,BUXTON,4660,Hinkler,,
QLD,CALAVOS,4670,Hinkler,,
QLD,CHERWELL,4660,Hinkler,,
QLD,CHILDERS,4660,Hinkler,,
QLD,COONARR,4670,Hinkler,,
QLD,CORAL COVE,4670,Hinkler,,
QLD,CORDALBA,4660,Hinkler,,
QLD,CRAIGNISH,4655,Hinkler,,
QLD,DOOLBI,4660,Hinkler,,
QLD,DUCKINWILLA,4650,Hinkler,,
QLD,DUINGAL,4671,Hinkler,,
QLD,DUNDATHU,4650,Hinkler,,
QLD,DUNDOWRAN,4655,Hinkler,,
QLD,DUNDOWRAN BEACH,4655,Hinkler,,
QLD,ELECTRA,4670,Hinkler,,
QLD,ELI WATERS,4655,Hinkler,,
12345,12345,12345,12345,12345.0,12345.0
1,2,3,4,5.0,
QLD,ELLIOTT,4670,Hinkler,,
QLD,ELLIOTT HEADS,4670,Hinkler,,
QLD,EUREKA,4660,Hinkler,,
QLD,FARNSFIELD,4660,Hinkler,,
QLD,GIVELDA,4670,Hinkler,,
QLD,GOODWOOD,4660,Hinkler,,
QLD,GREGORY RIVER,4660,Hinkler,,
QLD,HERVEY BAY,4655,Hinkler,,
QLD,HORTON,4660,Hinkler,,
QLD,HOWARD,4659,Hinkler,,
QLD,INNES PARK,4670,Hinkler,,
QLD,ISIS CENTRAL,4660,Hinkler,,
QLD,ISIS RIVER,4660,Hinkler,,
QLD,KALKIE,4670,Hinkler,,
QLD,KAWUNGAN,4655,Hinkler,,
QLD,KENSINGTON,4670,Hinkler,,
QLD,KEPNOCK,4670,Hinkler,,
QLD,KINKUNA,4670,Hinkler,,
QLD,KULLOGUM,4660,Hinkler,,
QLD,MILLBANK,4670,Hinkler,,
12345,12345,12345,12345,12345.0,12345.0
1,2,3,4,5.0,
QLD,MON REPOS,4670,Hinkler,,
QLD,NIKENBAH,4655,Hinkler,,
QLD,NORTH GREGORY,4660,Hinkler,,
QLD,NORTH ISIS,4660,Hinkler,,
QLD,NORVILLE,4670,Hinkler,,
QLD,PACIFIC HAVEN,4659,Hinkler,,
QLD,PIALBA,4655,Hinkler,,
QLD,PINE CREEK,4670,Hinkler,,
QLD,POINT VERNON,4655,Hinkler,,
QLD,PRAWLE,4650,Hinkler,,
QLD,PROMISEDLAND,4660,Hinkler,,
QLD,QUNABA,4670,Hinkler,,
QLD,REDRIDGE,4660,Hinkler,,
QLD,RIVER HEADS,4655,Hinkler,,
QLD,RUBYANNA,4670,Hinkler,,
QLD,SCARNESS,4655,Hinkler,,
QLD,SOUTH BINGERA,4670,Hinkler,,
QLD,SOUTH ISIS,4660,Hinkler,,
QLD,SUNSHINE ACRES,4655,Hinkler,,
QLD,SUSAN RIVER,4655,Hinkler,,
12345,12345,12345,12345,12345.0,12345.0
1,2,3,4,5.0,
QLD,SVENSSON HEIGHTS,4670,Hinkler,,
QLD,TAKURA,4655,Hinkler,,
QLD,TANDORA,4650,Hinkler,,
QLD,THABEBAN,4670,Hinkler,,
QLD,TOOGOOM,4655,Hinkler,,
QLD,TORBANLEA,4662,Hinkler,,
QLD,TORQUAY,4655,Hinkler,,
QLD,URANGAN,4655,Hinkler,,
QLD,URRAWEEN,4655,Hinkler,,
QLD,WALKERS POINT,4660,Hinkler,,
QLD,WALKERVALE,4670,Hinkler,,
QLD,WALLIEBUM,4655,Hinkler,,
QLD,WALLIGAN,4655,Hinkler,,
QLD,WINDERMERE,4670,Hinkler,,
QLD,WONDUNNA,4655,Hinkler,,
QLD,WOODGATE,4660,Hinkler,,
QLD,WOODGATE BEACH,4660,Hinkler,,WOODGATE
QLD,WOONGARRA,4670,Hinkler,,
12345,12345,12345,12345,12345.0,12345
1,2,3,4,5.0,
