State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
VIC,BENTLEIGH,3204.0,Hotham,,
VIC,BENTLEIGH EAST,3165.0,Hotham,,
VIC,CHADSTONE,3148.0,Hotham,,
VIC,CLARINDA,3169.0,Hotham,,
VIC,CLAYTON,3168.0,Hotham,,
VIC,CLAYTON SOUTH,3169.0,Hotham,,
VIC,COATESVILLE,3165.0,Hotham,,BENTLEIGH EAST
VIC,EAST BENTLEIGH,3165.0,Hotham,,BENTLEIGH EAST
VIC,EAST OAKLEIGH,3166.0,Hotham,,OAKLEIGH EAST
VIC,GLEN WAVERLEY,3150.0,Hotham,,
VIC,HUNTINGDALE,3166.0,Hotham,,
VIC,MCKINNON,3204.0,Hotham,,
VIC,MOUNT WAVERLEY,3149.0,Hotham,,
VIC,MULGRAVE,3170.0,Hotham,,
VIC,NOTTING HILL,3168.0,Hotham,,
VIC,OAKLEIGH,3166.0,Hotham,,
VIC,OAKLEIGH EAST,3166.0,Hotham,,
VIC,OAKLEIGH SOUTH,3167.0,Hotham,,
VIC,ORMOND,3204.0,Hotham,,
VIC,PATTERSON,3204.0,Hotham,,BENTLEIGH
12,12,12.0,12,12.0,12
1,2,,,,
VIC,PINEWOOD,3149.0,Hotham,,MOUNT WAVERLEY
VIC,SOUTH OAKLEIGH,3167.0,Hotham,,OAKLEIGH SOUTH
VIC,SPRINGVALE,3171.0,Hotham,,
VIC,SPRINGVALE SOUTH,3172.0,Hotham,,
VIC,SYNDAL,3149.0,Hotham,,GLEN WAVERLEY
VIC,SYNDAL EAST,3150.0,Hotham,,GLEN WAVERLEY
VIC,WAVERLEY PARK,3170.0,Hotham,,MULGRAVE
VIC,WESTALL,3169.0,Hotham,,CLAYTON SOUTH
VIC,WHEELERS HILL,3150.0,Hotham,,
12,12,12.0,12,12.0,12
1,2,,,,
