State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
NSW,ALFORDS POINT,2234.0,Hughes,,
NSW,AUDLEY,2232.0,Hughes,,ROYAL NATIONAL PARK
NSW,BANGOR,2234.0,Hughes,,
NSW,BARDEN RIDGE,2234.0,Hughes,,
NSW,BONNET BAY,2226.0,Hughes,,
NSW,BONNIE VALE,2230.0,Hughes,,BUNDEENA
NSW,BUNDEENA,2230.0,Hughes,,
NSW,COMO,2226.0,Hughes,,
NSW,DEER PARK,2232.0,Hughes,,ROYAL NATIONAL PARK
NSW,ENGADINE,2233.0,Hughes,,
NSW,GARIE BEACH,2232.0,Hughes,,
NSW,GRAYS POINT,2232.0,Hughes,,
NSW,GYMEA,2227.0,Hughes,,
NSW,HAMMONDVILLE,2170.0,Hughes,,
NSW,HEATHCOTE,2233.0,Hughes,,
NSW,HOLSWORTHY,2173.0,Hughes,,
NSW,ILLAWONG,2234.0,Hughes,,
NSW,JANNALI,2226.0,Hughes,,
NSW,KAREELA,2232.0,Hughes,,
NSW,KIRRAWEE,2232.0,Hughes,,
12,12,12.0,12,12.0,12
1,2,,,,
NSW,LIVERPOOL MILITARY AREA,2174.0,Hughes,,
NSW,LOFTUS,2232.0,Hughes,,
NSW,LUCAS HEIGHTS,2234.0,Hughes,,
NSW,MAIANBAR,2230.0,Hughes,,
NSW,MENAI,2234.0,Hughes,,
NSW,MOOREBANK,2170.0,Hughes,,
NSW,OYSTER BAY,2225.0,Hughes,,
NSW,PLEASURE POINT,2172.0,Hughes,,
NSW,ROYAL NATIONAL PARK,2232.0,Hughes,,
NSW,SANDY POINT,2172.0,Hughes,,
NSW,SUTHERLAND,2232.0,Hughes,,
NSW,VOYAGER POINT,2172.0,Hughes,,
NSW,WATERFALL,2233.0,Hughes,,
NSW,WATTLE GROVE,2173.0,Hughes,,
NSW,WORONORA,2232.0,Hughes,,
NSW,WORONORA HEIGHTS,2233.0,Hughes,,
NSW,YARRAWARRAH,2233.0,Hughes,,
12,12,12.0,12,12.0,12.0
1,2,,,,
