State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
NSW,ALPINE,2575,Hume,,
NSW,APPIN,2560,Hume,,
NSW,AYLMERTON,2575,Hume,,
NSW,BALMORAL,2571,Hume,,
NSW,BANNABY,2580,Hume,,
NSW,BANNISTER,2580,Hume,,
NSW,BARGO,2574,Hume,,
NSW,BAW BAW,2580,Hume,,
NSW,BELANGLO,2577,Hume,,
NSW,BELIMBLA PARK,2570,Hume,,
NSW,BELLMOUNT FOREST,2581,Hume,,
NSW,BERRIMA,2577,Hume,,
NSW,BEVENDALE,2581,Hume,,
NSW,BIALA,2581,Hume,,
NSW,BICKLEY VALE,2570,Hume,,
NSW,BIG HILL,2579,Hume,,
NSW,BIGGA,2583,Hume,,
NSW,BINDA,2583,Hume,,
NSW,BINDOOK,2787,Hume,,
NSW,BLAKNEY CREEK,2581,Hume,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
NSW,BLANKET FLAT,2583,Hume,,
NSW,BOOROWA,2586,Hume,,
NSW,BOXERS CREEK,2580,Hume,,
NSW,BRAYTON,2579,Hume,,
NSW,BREADALBANE,2581,Hume,,
NSW,BRINGELLY,2556,Hume,,
NSW,BRISBANE GROVE,2580,Hume,,
NSW,BROADWAY,2581,Hume,,
NSW,BROWNLOW HILL,2570,Hume,,
NSW,BULLIO,2575,Hume,,
NSW,BUNDANOON,2578,Hume,,
NSW,BUNGONIA,2580,Hume,,
NSW,BUXTON,2571,Hume,,
NSW,CAMDEN,2570,Hume,,
NSW,CAMDEN PARK,2570,Hume,,
NSW,CAMDEN SOUTH,2570,Hume,,
NSW,CANYONLEIGH,2577,Hume,,
NSW,CARRICK,2580,Hume,,
NSW,CATARACT,2560,Hume,,
NSW,CAWDOR,2570,Hume,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
NSW,CHATSBURY,2580,Hume,,
NSW,COBBITTY,2570,Hume,,
NSW,COLLECTOR,2581,Hume,,
NSW,COLO VALE,2575,Hume,,
NSW,COTTAWALLA,2583,Hume,,
NSW,COURIDJAH,2571,Hume,,
NSW,CROOKED CORNER,2583,Hume,,
NSW,CROOKWELL,2583,Hume,,
NSW,CULLERIN,2581,Hume,,
NSW,CURRAWANG,2580,Hume,,
NSW,CURRAWEELA,2580,Hume,,
NSW,DALTON,2581,Hume,,
NSW,DOUGLAS PARK,2569,Hume,,
NSW,ELDERSLIE,2570,Hume,,
NSW,ELLIS LANE,2570,Hume,,
NSW,EXETER,2579,Hume,,
NSW,FROGMORE,2586,Hume,,
NSW,FULLERTON,2583,Hume,,
NSW,GLENERIN,2583,Hume,,
NSW,GLENMORE,2570,Hume,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
NSW,GODFREYS CREEK,2586,Hume,,
NSW,GOLSPIE,2580,Hume,,
NSW,GOODMANS FORD,2575,Hume,,
NSW,GOULBURN,2580,Hume,,
NSW,GRABBEN GULLEN,2583,Hume,,
NSW,GRABINE,2583,Hume,,
NSW,GRAHAM,2794,Hume,,HOVELLS CREEK
NSW,GRASMERE,2570,Hume,,
NSW,GREENDALE,2745,Hume,,
NSW,GREENWICH PARK,2580,Hume,,
NSW,GUNDARY,2580,Hume,,
NSW,GUNNING,2581,Hume,,
NSW,GURRUNDAH,2581,Hume,,
NSW,HADLEY,2583,Hume,,
NSW,HARRINGTON PARK,2567,Hume,,
NSW,HIGH RANGE,2575,Hume,,
NSW,HILL TOP,2575,Hume,,
NSW,HOVELLS CREEK,2794,Hume,,
NSW,JERRAWA,2582,Hume,,
NSW,JOADJA,2575,Hume,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
NSW,KIALLA,2583,Hume,,
NSW,KINGSDALE,2580,Hume,,
NSW,KIRKHAM,2570,Hume,,
NSW,LADE VALE,2581,Hume,,
NSW,LAGGAN,2583,Hume,,
NSW,LAKE BATHURST,2580,Hume,,
NSW,LAKESLAND,2572,Hume,,
NSW,LERIDA,2581,Hume,,
NSW,LIMERICK,2583,Hume,,
NSW,LOST RIVER,2583,Hume,,
NSW,LOWER BORO,2580,Hume,,
NSW,LUDDENHAM,2745,Hume,,
NSW,MALDON,2571,Hume,,
NSW,MANDEMAR,2575,Hume,,
NSW,MARULAN,2579,Hume,,
NSW,MARULAN SOUTH,2579,Hume,,MARULAN
NSW,MEDWAY,2577,Hume,,
NSW,MENANGLE,2568,Hume,,
NSW,MERRILL,2581,Hume,,
NSW,MERYLA,2577,Hume,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
NSW,MIDDLE ARM,2580,Hume,,
NSW,MOUNT ANNAN,2567,Hume,,
NSW,MOUNT COLLINS,2794,Hume,,
