State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
VIC,ABBEYARD,3737,Indi,,
VIC,ACHERON,3714,Indi,,
VIC,ALEXANDRA,3714,Indi,,
VIC,ALLANS FLAT,3691,Indi,,
VIC,ANCONA,3715,Indi,,
VIC,ARCHERTON,3723,Indi,,
VIC,BACK CREEK,3749,Indi,,YACKANDANDAH
VIC,BADDAGINNIE,3670,Indi,,
VIC,BALMATTUM,3666,Indi,,
VIC,BANDIANA,3691,Indi,,
VIC,BARANDUDA,3691,Indi,,
VIC,BARJARG,3723,Indi,,
VIC,BARNAWARTHA,3688,Indi,,
VIC,BARNAWARTHA NORTH,3691,Indi,,
VIC,BARWIDGEE,3737,Indi,,
VIC,BARWITE,3722,Indi,,
VIC,BEECHWORTH,3747,Indi,,
VIC,BELLBRIDGE,3691,Indi,,
VIC,BENALLA,3672,Indi,,
VIC,BERRINGAMA,3691,Indi,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
VIC,BETHANGA,3691,Indi,,
VIC,BIGGARA,3707,Indi,,
VIC,BOBINAWARRAH,3678,Indi,,
VIC,BOGONG,3699,Indi,,
VIC,BOHO,3669,Indi,,
VIC,BOHO SOUTH,3669,Indi,,
VIC,BONEGILLA,3691,Indi,,
VIC,BONNIE DOON,3720,Indi,,
VIC,BOORHAMAN,3678,Indi,,
VIC,BOORHAMAN EAST,3678,Indi,,
VIC,BOORHAMAN NORTH,3685,Indi,,
VIC,BOOROLITE,3723,Indi,,
VIC,BORALMA,3682,Indi,,
VIC,BOWEYA,3675,Indi,,
VIC,BOWMANS FOREST,3735,Indi,,
VIC,BOWSER,3678,Indi,,
VIC,BOXWOOD,3725,Indi,,
VIC,BRIDGE CREEK,3723,Indi,,
VIC,BRIGHT,3741,Indi,,
VIC,BRIMIN,3685,Indi,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
VIC,BROKEN CREEK,3673,Indi,,
VIC,BROWNS PLAINS,3685,Indi,,
VIC,BRUARONG,3749,Indi,,
VIC,BUCKLAND,3740,Indi,,
VIC,BUFFALO CREEK,3737,Indi,,MYRTLEFORD
VIC,BUFFALO RIVER,3737,Indi,,
VIC,BULLHEAD,3701,Indi,,TALLANGATTA SOUTH
VIC,BULLIOH,3700,Indi,,
VIC,BUNGEET,3726,Indi,,
VIC,BUNGEET WEST,3726,Indi,,
VIC,BUNGIL,3691,Indi,,
VIC,BURROWYE,3709,Indi,,
VIC,BUXTON,3711,Indi,,
VIC,BYAWATHA,3678,Indi,,
VIC,BYRNE,3678,Indi,,MOYHU
VIC,CARBOOR,3678,Indi,,
VIC,CARLYLE,3685,Indi,,
VIC,CARRARAGARMUNGEE,3746,Indi,,LONDRIGAN
VIC,CASTELLA,3777,Indi,,
VIC,CASTLE CREEK,3691,Indi,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
VIC,CATHKIN,3714,Indi,,
VIC,CAVEAT,3660,Indi,,
VIC,CHARLEROI,3695,Indi,,
VIC,CHESHUNT,3678,Indi,,
VIC,CHESHUNT SOUTH,3678,Indi,,
VIC,CHESNEY VALE,3725,Indi,,
VIC,CHILTERN,3683,Indi,,
VIC,CHILTERN VALLEY,3683,Indi,,
VIC,CLAREMONT,3732,Indi,,MOYHU
VIC,COBUNGRA,3898,Indi,,
VIC,COLAC COLAC,3707,Indi,,
VIC,CORAL BANK,3691,Indi,,
VIC,CORNISHTOWN,3683,Indi,,
VIC,CORRYONG,3707,Indi,,
VIC,CREEK JUNCTION,3669,Indi,,
VIC,CREIGHTONS CREEK,3666,Indi,,
VIC,CUDGEWA,3705,Indi,,
VIC,DANDONGADALE,3737,Indi,,
VIC,DARTMOUTH,3701,Indi,,
VIC,DEDERANG,3691,Indi,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
VIC,DELATITE,3723,Indi,,
VIC,DEVENISH,3726,Indi,,
VIC,DEVILS RIVER,3714,Indi,,
VIC,DINNER PLAIN,3898,Indi,,
VIC,DOCKER,3678,Indi,,
VIC,DOCKERS PLAINS,3678,Indi,,
VIC,DROPMORE,3660,Indi,,
VIC,EARLSTON,3669,Indi,,
VIC,EAST WANGARATTA,3678,Indi,,
VIC,EBDEN,3691,Indi,,
VIC,EDI,3678,Indi,,
VIC,EDI UPPER,3678,Indi,,
VIC,EILDON,3713,Indi,,
VIC,ELDORADO,3746,Indi,,
VIC,ENOCHS POINT,3723,Indi,,
VIC,ESKDALE,3701,Indi,,
VIC,EUROA,3666,Indi,,
VIC,EUROBIN,3739,Indi,,
VIC,EVERTON,3678,Indi,,
VIC,EVERTON UPPER,3678,Indi,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
