State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
VIC,BELLFIELD,3081.0,Jagajaga,,
VIC,BRIAR HILL,3088.0,Jagajaga,,
VIC,BUNDOORA,3083.0,Jagajaga,,
VIC,DIAMOND CREEK,3089.0,Jagajaga,,
VIC,EAGLEMONT,3084.0,Jagajaga,,
VIC,ELTHAM,3095.0,Jagajaga,,
VIC,ELTHAM NORTH,3095.0,Jagajaga,,
VIC,GREENSBOROUGH,3088.0,Jagajaga,,
VIC,HEIDELBERG,3084.0,Jagajaga,,
VIC,HEIDELBERG HEIGHTS,3081.0,Jagajaga,,
VIC,HEIDELBERG WEST,3081.0,Jagajaga,,
VIC,IVANHOE,3079.0,Jagajaga,,
VIC,IVANHOE EAST,3079.0,Jagajaga,,
VIC,LOWER PLENTY,3093.0,Jagajaga,,
VIC,MACLEOD,3085.0,Jagajaga,,
VIC,MONTMORENCY,3094.0,Jagajaga,,
VIC,PLENTY,3090.0,Jagajaga,,
VIC,ROSANNA,3084.0,Jagajaga,,
VIC,ST HELENA,3088.0,Jagajaga,,
VIC,UNIVERSITY HILL,3083.0,Jagajaga,,BUNDOORA
12,12,12.0,12,12.0,12
1,2,,,,
VIC,VIEWBANK,3084.0,Jagajaga,,
VIC,WATSONIA,3087.0,Jagajaga,,
VIC,WATSONIA NORTH,3087.0,Jagajaga,,
VIC,WATTLE GLEN,3096.0,Jagajaga,,
VIC,YALLAMBIE,3085.0,Jagajaga,,
12,12,12.0,12,12.0,12.0
1,2,,,,
