State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
QLD,ABERGOWRIE,4850,Kennedy,,
QLD,AGATE CREEK,4871,Kennedy,,GEORGETOWN
QLD,ALABAMA HILL,4820,Kennedy,,
QLD,ALICE RIVER,4817,Kennedy,,
QLD,ALLIGATOR CREEK,4816,Kennedy,,
QLD,ALLINGHAM,4850,Kennedy,,
QLD,ALMADEN,4871,Kennedy,,
QLD,ALOOMBA,4871,Kennedy,,
QLD,ARRIGA,4880,Kennedy,,
QLD,ATHERTON,4883,Kennedy,,
QLD,BABINDA,4861,Kennedy,,
QLD,BALFES CREEK,4820,Kennedy,,
QLD,BALGAL BEACH,4816,Kennedy,,
QLD,BAMBAROO,4850,Kennedy,,
QLD,BAMBOO CREEK,4860,Kennedy,,
QLD,BAMFORD,4871,Kennedy,,PETFORD
QLD,BARKLY,4825,Kennedy,,
QLD,BARRINE,4872,Kennedy,,
QLD,BARRINGHA,4816,Kennedy,,
QLD,BARTLE FRERE,4861,Kennedy,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
QLD,BARWIDGI,4872,Kennedy,,
QLD,BASALT,4820,Kennedy,,
QLD,BEACHVIEW,4886,Kennedy,,MILLAA MILLAA
QLD,BEATRICE,4886,Kennedy,,MILLAA MILLAA
QLD,BELLENDEN KER,4871,Kennedy,,
QLD,BELVEDERE,4860,Kennedy,,
QLD,BEMERSIDE,4850,Kennedy,,
QLD,BENTINCK ISLAND,4830,Kennedy,,
QLD,BENTLEY PARK,4869,Kennedy,,
QLD,BIBOOHRA,4880,Kennedy,,
QLD,BILYANA,4854,Kennedy,,
QLD,BINGIL BAY,4852,Kennedy,,
QLD,BIRKALLA,4854,Kennedy,,
QLD,BLACK JACK,4820,Kennedy,,
QLD,BLACKROCK,4850,Kennedy,,
QLD,BLUEWATER,4818,Kennedy,,
QLD,BLUEWATER BEACH,4818,Kennedy,,BLUEWATER
QLD,BLUEWATER PARK,4818,Kennedy,,
QLD,BOAR POCKET,4872,Kennedy,,YUNGABURRA
QLD,BOHLE PLAINS,4817,Kennedy,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
QLD,BOMBEETA,4871,Kennedy,,
QLD,BOOGAN,4871,Kennedy,,
QLD,BOONJIE,4885,Kennedy,,MALANDA
QLD,BOULIA,4829,Kennedy,,
QLD,BRAEMEADOWS,4850,Kennedy,,
QLD,BRAMSTON BEACH,4871,Kennedy,,
QLD,BREAKAWAY,4825,Kennedy,,
QLD,BREDDAN,4820,Kennedy,,
QLD,BROOKHILL,4816,Kennedy,,
QLD,BROUGHTON,4820,Kennedy,,
QLD,BULGUN,4854,Kennedy,,
QLD,BURKETOWN,4830,Kennedy,,
QLD,BUTCHERS CREEK,4885,Kennedy,,
QLD,CALCIUM,4816,Kennedy,,
QLD,CAMBRIDGE,4822,Kennedy,,
QLD,CAMOOWEAL,4828,Kennedy,,
QLD,CAMP CREEK,4871,Kennedy,,
QLD,CAMPASPE,4820,Kennedy,,
QLD,CARDWELL,4849,Kennedy,,
QLD,CARMOO,4852,Kennedy,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
QLD,CARRINGTON,4883,Kennedy,,
QLD,CARRUCHAN,4816,Kennedy,,
QLD,CHARTERS TOWERS,4820,Kennedy,,
QLD,CHEWKO,4880,Kennedy,,
QLD,CHILLAGOE,4871,Kennedy,,
QLD,CLARE,4807,Kennedy,,
QLD,CLEMANT,4816,Kennedy,,
QLD,CLOHESY,4881,Kennedy,,KURANDA
QLD,CLONCURRY,4824,Kennedy,,
QLD,COCONUTS,4860,Kennedy,,
QLD,COLUMBIA,4820,Kennedy,,
QLD,COMOON LOOP,4858,Kennedy,,
QLD,COOLBIE,4850,Kennedy,,
QLD,COORUMBA,4860,Kennedy,,
QLD,COQUETTE POINT,4860,Kennedy,,
QLD,CORDELIA,4850,Kennedy,,
QLD,COWLEY,4871,Kennedy,,
QLD,COWLEY BEACH,4871,Kennedy,,
QLD,COWLEY CREEK,4871,Kennedy,,
QLD,CROYDON,4871,Kennedy,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
QLD,CRYSTAL CREEK,4816,Kennedy,,
QLD,CULLINANE,4860,Kennedy,,
QLD,CURRAJAH,4871,Kennedy,,
QLD,DAJARRA,4825,Kennedy,,
QLD,DALBEG,4807,Kennedy,,
QLD,DALRYMPLE CREEK,4850,Kennedy,,
QLD,DANBULLA,4872,Kennedy,,
QLD,DARADGEE,4860,Kennedy,,
QLD,DAVESON,4855,Kennedy,,
QLD,DEERAL,4871,Kennedy,,
QLD,DIMBULAH,4872,Kennedy,,
QLD,DJARAWONG,4854,Kennedy,,
QLD,DOOMADGEE,4830,Kennedy,,
QLD,DOTSWOOD,4820,Kennedy,,
QLD,DUCHESS,4825,Kennedy,,
QLD,DUNK,4852,Kennedy,,
QLD,DUTTON RIVER,4821,Kennedy,,
QLD,EAST BARRON,4883,Kennedy,,
QLD,EAST FELUGA,4854,Kennedy,,
QLD,EAST INNISFAIL,4860,Kennedy,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
