State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
VIC,AVONSLEIGH,3782.0,La Trobe,,
VIC,BEACONSFIELD,3807.0,La Trobe,,
VIC,BEACONSFIELD UPPER,3808.0,La Trobe,,
VIC,BERWICK,3806.0,La Trobe,,
VIC,CARDINIA,3978.0,La Trobe,,
VIC,CLEMATIS,3782.0,La Trobe,,
VIC,CLYDE NORTH,3978.0,La Trobe,,
VIC,COCKATOO,3781.0,La Trobe,,
VIC,DEWHURST,3808.0,La Trobe,,
VIC,EMERALD,3782.0,La Trobe,,
VIC,FOUNTAIN GATE,3805.0,La Trobe,,NARRE WARREN
VIC,GEMBROOK,3783.0,La Trobe,,
VIC,GUYS HILL,3807.0,La Trobe,,
VIC,HARKAWAY,3806.0,La Trobe,,
VIC,KOO WEE RUP NORTH,3981.0,La Trobe,,
VIC,MENZIES CREEK,3159.0,La Trobe,,
VIC,MOUNT BURNETT,3781.0,La Trobe,,
VIC,NANGANA,3781.0,La Trobe,,
VIC,NAR NAR GOON,3812.0,La Trobe,,
VIC,NAR NAR GOON NORTH,3812.0,La Trobe,,
12,12,12.0,12,12.0,12
1,2,,,,
VIC,NARRE WARREN,3805.0,La Trobe,,
VIC,NARRE WARREN NORTH,3804.0,La Trobe,,
VIC,OFFICER,3809.0,La Trobe,,
VIC,OFFICER SOUTH,3809.0,La Trobe,,
VIC,PAKENHAM,3810.0,La Trobe,,
VIC,PAKENHAM SOUTH,3810.0,La Trobe,,
VIC,PAKENHAM UPPER,3810.0,La Trobe,,
VIC,RYTHDALE,3810.0,La Trobe,,
12,12,12.0,12,12.0,12.0
1,2,,,,
