State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
VIC,HOPPERS CROSSING,3029,Lalor,,
VIC,LITTLE RIVER,3211,Lalor,,
VIC,MAMBOURIN,3024,Lalor,,
VIC,MANOR LAKES,3024,Lalor,,
VIC,MOUNT COTTRELL,3024,Lalor,,
VIC,POINT COOK,3030,Lalor,,
VIC,POINT COOK RAAF,3027,Lalor,,POINT COOK
VIC,QUANDONG,3030,Lalor,,
VIC,SANCTUARY LAKES,3030,Lalor,,POINT COOK
VIC,TARNEIT,3029,Lalor,,
VIC,TRUGANINA,3029,Lalor,,
VIC,WERRIBEE,3030,Lalor,,
VIC,WERRIBEE SOUTH,3030,Lalor,,
VIC,WYNDHAM GREEN,3024,Lalor,,WYNDHAM VALE
VIC,WYNDHAM VALE,3024,Lalor,,
