State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
QLD,AEROGLEN,4870,Leichhardt,,
QLD,ARCHER RIVER,4892,Leichhardt,,
QLD,AURUKUN,4892,Leichhardt,,
QLD,AYTON,4895,Leichhardt,,
QLD,BADU ISLAND,4875,Leichhardt,,
QLD,BAMAGA,4876,Leichhardt,,
QLD,BAMBOO,4873,Leichhardt,,
QLD,BARRON,4878,Leichhardt,,
QLD,BAYVIEW HEIGHTS,4868,Leichhardt,,
QLD,BLOOMFIELD,4895,Leichhardt,,
QLD,BOIGU ISLAND,4875,Leichhardt,,
QLD,BONNIE DOON,4873,Leichhardt,,
QLD,BOOBY ISLAND,4875,Leichhardt,,
QLD,BRINSMEAD,4870,Leichhardt,,
QLD,BUCHAN POINT,4879,Leichhardt,,PALM COVE
QLD,BUNGALOW,4870,Leichhardt,,
QLD,BYERSTOWN,4871,Leichhardt,,
QLD,CAIRNS CITY,4870,Leichhardt,,
QLD,CAIRNS NORTH,4870,Leichhardt,,
QLD,CAPE TRIBULATION,4873,Leichhardt,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
QLD,CARAVONICA,4878,Leichhardt,,
QLD,CASSOWARY,4873,Leichhardt,,
QLD,CLIFTON BEACH,4879,Leichhardt,,
QLD,CLOHESY,4881,Leichhardt,,KURANDA
QLD,COCONUT ISLAND,4875,Leichhardt,,PORUMA ISLAND
QLD,COEN,4892,Leichhardt,,
QLD,COOKTOWN,4895,Leichhardt,,
QLD,COOYA BEACH,4873,Leichhardt,,
QLD,COW BAY,4873,Leichhardt,,
QLD,CRAIGLIE,4877,Leichhardt,,
QLD,DAINTREE,4873,Leichhardt,,
QLD,DARNLEY ISLAND,4875,Leichhardt,,ERUB ISLAND
QLD,DAUAN ISLAND,4875,Leichhardt,,
QLD,DEGARRA,4895,Leichhardt,,
QLD,DESAILLY,4871,Leichhardt,,
QLD,DIWAN,4873,Leichhardt,,
QLD,DIXIE,4892,Leichhardt,,
QLD,DOUBLE ISLAND,4879,Leichhardt,,
QLD,EARLVILLE,4870,Leichhardt,,
QLD,EDGE HILL,4870,Leichhardt,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
QLD,EDWARD RIVER,4892,Leichhardt,,
QLD,ELLIS BEACH,4879,Leichhardt,,
QLD,ENTRANCE ISLAND,4875,Leichhardt,,
QLD,ERUB ISLAND,4875,Leichhardt,,
QLD,EVANS LANDING,4874,Leichhardt,,
QLD,FINLAYVALE,4873,Leichhardt,,
QLD,FOREST CREEK,4873,Leichhardt,,
QLD,FRESHWATER,4870,Leichhardt,,
QLD,FRIDAY ISLAND,4875,Leichhardt,,
QLD,GOODS ISLAND,4875,Leichhardt,,
QLD,GREEN ISLAND,4871,Leichhardt,,
QLD,HAMMOND ISLAND,4875,Leichhardt,,
QLD,HOLLOWAYS BEACH,4878,Leichhardt,,
QLD,HOLROYD RIVER,4892,Leichhardt,,
QLD,HOPE VALE,4895,Leichhardt,,
QLD,HORN ISLAND,4875,Leichhardt,,
QLD,HURRICANE,4871,Leichhardt,,
QLD,IAMA ISLAND,4875,Leichhardt,,
QLD,INJINOO,4876,Leichhardt,,
QLD,IRON RANGE,4892,Leichhardt,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
QLD,KAMERUNGA,4870,Leichhardt,,
QLD,KANIMBLA,4870,Leichhardt,,
QLD,KEWARRA BEACH,4879,Leichhardt,,
QLD,KILLALOE,4877,Leichhardt,,
QLD,KIMBERLEY,4873,Leichhardt,,
QLD,KOAH,4881,Leichhardt,,
QLD,KOWANYAMA,4892,Leichhardt,,
QLD,KOWROWA,4872,Leichhardt,,
QLD,KURANDA,4881,Leichhardt,,
QLD,LAKEFIELD,4892,Leichhardt,,
QLD,LAKELAND,4871,Leichhardt,,
QLD,LAMB RANGE,4870,Leichhardt,,
QLD,LAURA,4892,Leichhardt,,
QLD,LIZARD,4892,Leichhardt,,
QLD,LOCKHART RIVER,4892,Leichhardt,,
QLD,LOW ISLES,4873,Leichhardt,,
QLD,LOWER DAINTREE,4873,Leichhardt,,
QLD,MABUIAG ISLAND,4875,Leichhardt,,
QLD,MACALISTER RANGE,4871,Leichhardt,,
QLD,MACHANS BEACH,4878,Leichhardt,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
QLD,MANOORA,4870,Leichhardt,,
QLD,MANUNDA,4870,Leichhardt,,
QLD,MAPOON,4874,Leichhardt,,
QLD,MARTON,4895,Leichhardt,,
QLD,MASIG ISLAND,4875,Leichhardt,,
QLD,MER ISLAND,4875,Leichhardt,,
QLD,MIALLO,4873,Leichhardt,,
QLD,MISSION RIVER,4874,Leichhardt,,
QLD,MOA ISLAND,4875,Leichhardt,,
QLD,MONA MONA,4881,Leichhardt,,
QLD,MOOROOBOOL,4870,Leichhardt,,
QLD,MOSSMAN,4873,Leichhardt,,
QLD,MOSSMAN GORGE,4873,Leichhardt,,
QLD,MOUNT MULGRAVE,4892,Leichhardt,,
QLD,MOUNT SHERIDAN,4868,Leichhardt,,
QLD,MOWBRAY,4877,Leichhardt,,
QLD,MURRAY ISLAND,4875,Leichhardt,,MER ISLAND
QLD,MYOLA,4881,Leichhardt,,
QLD,NAGHIR ISLAND,4875,Leichhardt,,
QLD,NANUM,4874,Leichhardt,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
