State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
QLD,ASPLEY,4034.0,Lilley,,
QLD,BANYO,4014.0,Lilley,,
QLD,BOONDALL,4034.0,Lilley,,
QLD,BRIDGEMAN DOWNS,4035.0,Lilley,,
QLD,BRIGHTON,4017.0,Lilley,,
QLD,CHERMSIDE,4032.0,Lilley,,
QLD,CHERMSIDE WEST,4032.0,Lilley,,
QLD,DEAGON,4017.0,Lilley,,
QLD,EAGLE FARM,4009.0,Lilley,,
QLD,EVERTON PARK,4053.0,Lilley,,
QLD,GEEBUNG,4034.0,Lilley,,
QLD,KEDRON,4031.0,Lilley,,
QLD,MCDOWALL,4053.0,Lilley,,
QLD,MYRTLETOWN,4008.0,Lilley,,PINKENBA
QLD,NASHVILLE,4017.0,Lilley,,BRIGHTON
QLD,NORTHGATE,4013.0,Lilley,,
QLD,NUDGEE,4014.0,Lilley,,
QLD,NUDGEE BEACH,4014.0,Lilley,,
QLD,NUNDAH,4012.0,Lilley,,
QLD,PINKENBA,4008.0,Lilley,,
12,12,12.0,12,12.0,12
1,2,,,,
QLD,SANDGATE,4017.0,Lilley,,
QLD,SHORNCLIFFE,4017.0,Lilley,,
QLD,STAFFORD,4053.0,Lilley,,
QLD,STAFFORD HEIGHTS,4053.0,Lilley,,
QLD,TAIGUM,4018.0,Lilley,,
QLD,TOOMBUL,4012.0,Lilley,,NUNDAH
QLD,VIRGINIA,4014.0,Lilley,,
QLD,WAVELL HEIGHTS,4012.0,Lilley,,
QLD,ZILLMERE,4034.0,Lilley,,
12,12,12.0,12,12.0,12
1,2,,,,
