State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
NT,10 MILE,0872,Lingiari,,
NT,10 MILE OUTSTATION,0872,Lingiari,,
NT,11 MILE,0828,Lingiari,,KNUCKEY LAGOON INDIG VLGE
NT,15 MILE,0830,Lingiari,,PALMERSTON INDIGENOUS VLG
NT,4 MILE CAMP,0822,Lingiari,,
NT,5 MILE BORE,0872,Lingiari,,
NT,ABBOTS CAMP,0870,Lingiari,,MPWETYERRE
NT,ACACIA HILLS,0822,Lingiari,,
NT,ACACIA LARRAKIA,0822,Lingiari,,
NT,ADBANAE,0822,Lingiari,,
NT,ADDER STN,0862,Lingiari,,
NT,ADELAIDE BORE,0872,Lingiari,,
NT,ADELAIDE RIVER,0846,Lingiari,,
NT,ADJAMARRAGU,0822,Lingiari,,
NT,AILERON,0872,Lingiari,,
NT,AILERON STN,0872,Lingiari,,
NT,AKANTA,0872,Lingiari,,
NT,AKARNENEHE WELL,0872,Lingiari,,
NT,AKNGWERTNARRE,0870,Lingiari,,
NT,AKWALIRRUMANJA,0822,Lingiari,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
NT,ALAMIRRA,0822,Lingiari,,
NT,ALATYEYE,0872,Lingiari,,
NT,ALBANY PARK,0845,Lingiari,,
NT,ALCOOTA STN,0872,Lingiari,,
NT,ALEKERUNGE,0872,Lingiari,,ALI CURUNG
NT,ALEXANDRIA STN,0862,Lingiari,,
NT,ALHARRGAN,0852,Lingiari,,
NT,ALI CURUNG,0872,Lingiari,,
NT,ALICE SPRINGS,0870,Lingiari,,
NT,ALICE WELL,0872,Lingiari,,
NT,ALINJIRRI WARNKKAR,0862,Lingiari,,LIKKAPARTA
NT,ALKIPI,0872,Lingiari,,
NT,ALKNGARRIINTJA,0872,Lingiari,,
NT,ALKUPTIJA,0872,Lingiari,,
NT,ALKURALKWA,0872,Lingiari,,LITTLE WELL
NT,ALLAMBI STN,0872,Lingiari,,
NT,ALPARA,0872,Lingiari,,
NT,ALPURRURULAM,0872,Lingiari,,
NT,ALROY DOWNS STN,0862,Lingiari,,
NT,ALUM,0872,Lingiari,,ALYUEN
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
NT,ALURALKA,0872,Lingiari,,
NT,ALYANGULA,0885,Lingiari,,
NT,ALYINGBERRMA,0822,Lingiari,,
NT,ALYUEN,0872,Lingiari,,
NT,AMALILPIL,0852,Lingiari,,
NT,AMANBIDJI,0852,Lingiari,,
NT,AMANBURNUNGA,0880,Lingiari,,
NT,AMANGAL,0846,Lingiari,,
NT,AMATJATPALK,0822,Lingiari,,
NT,AMBALINDUM STN,0872,Lingiari,,
NT,AMBURLA STN,0872,Lingiari,,
NT,AMENGERNTERNEAH,0872,Lingiari,,
NT,AMIRRABA,0880,Lingiari,,
NT,AMMAROO STN,0872,Lingiari,,
NT,AMOONGUNA,0872,Lingiari,,
NT,AMPILATWATJA,0872,Lingiari,,
NT,AMPUTJUTA,0872,Lingiari,,
NT,AMUNDURNGUA,0872,Lingiari,,
NT,AMUNDURRNGU SPRING,0872,Lingiari,,
NT,AMUNGEE MUNGEE STN,0852,Lingiari,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
NT,ANDADO STN,0872,Lingiari,,
NT,ANDANANGKI,0852,Lingiari,,
NT,ANGAS DOWNS,0872,Lingiari,,
NT,ANGATYEPE,0872,Lingiari,,
NT,ANGAWANGERE,0872,Lingiari,,INKAWENYERRE
NT,ANGKARRIPA,0872,Lingiari,,ANKERRAPW
NT,ANGKERLE ARRENGE A,0872,Lingiari,,
NT,ANGKERLE ARRENGE B,0872,Lingiari,,
NT,ANGULA,0872,Lingiari,,
NT,ANGURUGU,0822,Lingiari,,
NT,ANGWURA,0880,Lingiari,,
NT,ANILTJIY,0862,Lingiari,,ATNELTYEY
NT,ANKABADBIRRI,0822,Lingiari,,
NT,ANKERRAPW,0872,Lingiari,,
NT,ANKWELEYELENGKWE,0872,Lingiari,,
NT,ANMATJERE,0872,Lingiari,,10 MILE OUTSTATION
NT,ANNABURROO,0822,Lingiari,,
NT,ANNABURROO BILLABONG,0822,Lingiari,,
NT,ANNABURROO STN,0822,Lingiari,,
NT,ANNERRE,0872,Lingiari,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
NT,ANNIE RIVER,0822,Lingiari,,
NT,ANNINGIE,0872,Lingiari,,
NT,ANNITOWA STN,0872,Lingiari,,
NT,ANTARRINGINYA,0872,Lingiari,,INDARINGINYA
NT,ANTERE,0872,Lingiari,,
NT,ANTHELK-EWLPAYE,0872,Lingiari,,
NT,ANTHEPE,0870,Lingiari,,
NT,ANTHONY LAGOON STN,0862,Lingiari,,
NT,ANYUMGYUMBA,0872,Lingiari,,
NT,APATULA,0872,Lingiari,,FINKE
NT,APER-ALWERRKNGE,0870,Lingiari,,
NT,ARALUEN,0870,Lingiari,,
NT,ARAPUNYA STN,0872,Lingiari,,
NT,ARARLAGU,0822,Lingiari,,
NT,ARARU POINT,0822,Lingiari,,
NT,ARAWERR,0872,Lingiari,,
NT,AREYONGA,0872,Lingiari,,
NT,ARGADARGADA STN,0872,Lingiari,,
NT,ARID GOLD FARM,0872,Lingiari,,
NT,ARKARNANA,0872,Lingiari,,ORRTIPA-THURRA
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
