State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
NSW,ALISON,2420,Lyne,,
NSW,ALLWORTH,2425,Lyne,,
NSW,ALLYNBROOK,2311,Lyne,,
NSW,BACK CREEK,2422,Lyne,,
NSW,BAGNOO,2446,Lyne,,
NSW,BAGO,2446,Lyne,,
NSW,BAKERS CREEK,2422,Lyne,,
NSW,BALICKERA,2324,Lyne,,
NSW,BALLENGARRA,2441,Lyne,,
NSW,BANDA BANDA,2446,Lyne,,
NSW,BANDON GROVE,2420,Lyne,,
NSW,BARRINGTON,2422,Lyne,,
NSW,BARRINGTON TOPS,2422,Lyne,,
NSW,BATAR CREEK,2439,Lyne,,
NSW,BAXTERS RIDGE,2422,Lyne,,
NSW,BEECHWOOD,2446,Lyne,,
NSW,BELBORA,2422,Lyne,,
NSW,BELLANGRY,2446,Lyne,,
NSW,BENDOLBA,2420,Lyne,,
NSW,BERRICO,2422,Lyne,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
NSW,BINDERA,2422,Lyne,,
NSW,BINGLEBURRA,2311,Lyne,,
NSW,BIRDWOOD,2446,Lyne,,
NSW,BLACK CREEK,2439,Lyne,,
NSW,BLACK HEAD,2430,Lyne,,
NSW,BLACKMANS POINT,2444,Lyne,,
NSW,BLUEYS BEACH,2428,Lyne,,
NSW,BOBIN,2429,Lyne,,
NSW,BOBS CREEK,2443,Lyne,,
NSW,BOHNOCK,2430,Lyne,,
NSW,BOLWARRA,2320,Lyne,,
NSW,BOLWARRA HEIGHTS,2320,Lyne,,
NSW,BOMBAH POINT,2423,Lyne,,
NSW,BONNY HILLS,2445,Lyne,,
NSW,BOOLAMBAYTE,2423,Lyne,,
NSW,BOOMERANG BEACH,2428,Lyne,,
NSW,BOORAL,2425,Lyne,,
NSW,BOORGANNA,2429,Lyne,,
NSW,BOOTAWA,2430,Lyne,,
NSW,BOOTI BOOTI,2428,Lyne,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
NSW,BOWMAN,2422,Lyne,,
NSW,BOWMAN FARM,2422,Lyne,,
NSW,BRANDY HILL,2324,Lyne,,
NSW,BRETTI,2422,Lyne,,
NSW,BRIL BRIL,2441,Lyne,,
NSW,BRIMBIN,2430,Lyne,,
NSW,BROMBIN,2446,Lyne,,
NSW,BROOKFIELD,2420,Lyne,,
NSW,BUCCA WAUKA,2429,Lyne,,
NSW,BULAHDELAH,2423,Lyne,,
NSW,BULGA FOREST,2429,Lyne,,
NSW,BULLIAC,2422,Lyne,,
NSW,BUNDABAH,2324,Lyne,,
NSW,BUNDOOK,2422,Lyne,,
NSW,BUNGWAHL,2423,Lyne,,
NSW,BUNYAH,2429,Lyne,,
NSW,BURRELL CREEK,2429,Lyne,,
NSW,BUTTERWICK,2321,Lyne,,
NSW,BYABARRA,2446,Lyne,,
NSW,CABBAGE TREE ISLAND,2430,Lyne,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
NSW,CAFFREYS FLAT,2424,Lyne,,
NSW,CAIRNCROSS,2446,Lyne,,
NSW,CALLAGHANS CREEK,2422,Lyne,,
NSW,CAMBRA,2420,Lyne,,
NSW,CAMDEN HEAD,2443,Lyne,,
NSW,CAPARRA,2429,Lyne,,
NSW,CARRABOLLA,2311,Lyne,,
NSW,CARRINGTON,2324,Lyne,,
NSW,CEDAR PARTY,2429,Lyne,,
NSW,CELLS RIVER,2424,Lyne,,
NSW,CHARLOTTE BAY,2428,Lyne,,
NSW,CHICHESTER,2420,Lyne,,
NSW,CLARENCE TOWN,2321,Lyne,,
NSW,COBARK,2422,Lyne,,
NSW,COMBOYNE,2429,Lyne,,
NSW,CONEAC,2422,Lyne,,
NSW,COOLONGOLOOK,2423,Lyne,,
NSW,COOMBA BAY,2428,Lyne,,
NSW,COOMBA PARK,2428,Lyne,,
NSW,COOPERNOOK,2426,Lyne,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
NSW,COOPLACURRIPA,2424,Lyne,,
NSW,COPELAND,2422,Lyne,,
NSW,CORALVILLE,2443,Lyne,,
NSW,CRAVEN,2422,Lyne,,
NSW,CRAVEN PLATEAU,2422,Lyne,,
NSW,CRAWFORD RIVER,2423,Lyne,,
NSW,CROKI,2430,Lyne,,
NSW,CROSSLANDS,2446,Lyne,,
NSW,CROWDY BAY,2427,Lyne,,
NSW,CROWDY HEAD,2427,Lyne,,
NSW,CUNDLE FLAT,2424,Lyne,,
NSW,CUNDLETOWN,2430,Lyne,,
NSW,CURRICABARK,2422,Lyne,,
NSW,DARAWANK,2428,Lyne,,
NSW,DEAUVILLE,2443,Lyne,,
NSW,DEBENHAM,2446,Lyne,,
NSW,DEWITT,2422,Lyne,,
NSW,DIAMOND BEACH,2430,Lyne,,
NSW,DIAMOND HEAD,2443,Lyne,,
NSW,DICKS HILL,2443,Lyne,,DUNBOGAN
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
