State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
TAS,ABERDEEN,7310,Lyons,,
TAS,ACACIA HILLS,7306,Lyons,,
TAS,AKAROA,7216,Lyons,,
TAS,ANDOVER,7120,Lyons,,
TAS,ANSONS BAY,7264,Lyons,,
TAS,ANTILL PONDS,7120,Lyons,,
TAS,APSLAWN,7190,Lyons,,
TAS,APSLEY,7030,Lyons,,
TAS,ARTHURS LAKE,7030,Lyons,,
TAS,AVOCA,7213,Lyons,,
TAS,BADEN,7120,Lyons,,
TAS,BAGDAD,7030,Lyons,,
TAS,BARRINGTON,7306,Lyons,,
TAS,BEAUMARIS,7215,Lyons,,
TAS,BEN LOMOND,7212,Lyons,,
TAS,BEULAH,7306,Lyons,,
TAS,BICHENO,7215,Lyons,,
TAS,BINALONG BAY,7216,Lyons,,
TAS,BIRRALEE,7303,Lyons,,
TAS,BISHOPSBOURNE,7301,Lyons,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
TAS,BLACK HILLS,7140,Lyons,,
TAS,BLACKSTONE HEIGHTS,7250,Lyons,,
TAS,BLACKWOOD CREEK,7301,Lyons,,
TAS,BLESSINGTON,7212,Lyons,,
TAS,BOOMER BAY,7177,Lyons,,
TAS,BOTHWELL,7030,Lyons,,
TAS,BOYER,7140,Lyons,,
TAS,BRACKNELL,7302,Lyons,,
TAS,BRADYS LAKE,7140,Lyons,,
TAS,BRANDUM,7304,Lyons,,
TAS,BREADALBANE,7258,Lyons,,
TAS,BREAM CREEK,7175,Lyons,,
TAS,BREONA,7304,Lyons,,
TAS,BRIDGENORTH,7277,Lyons,,
TAS,BRIDGEWATER,7030,Lyons,,
TAS,BRIGHTON,7030,Lyons,,
TAS,BROADMARSH,7030,Lyons,,
TAS,BRONTE PARK,7140,Lyons,,
TAS,BUCKLAND,7190,Lyons,,
TAS,BUSHY PARK,7140,Lyons,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
TAS,CAMPANIA,7026,Lyons,,
TAS,CAMPBELL TOWN,7210,Lyons,,
TAS,CARLTON,7173,Lyons,,
TAS,CARLTON RIVER,7173,Lyons,,
TAS,CARRICK,7291,Lyons,,
TAS,CAVESIDE,7304,Lyons,,
TAS,CENTRAL PLATEAU,7304,Lyons,,
TAS,CETHANA,7306,Lyons,,
TAS,CHAIN OF LAGOONS,7215,Lyons,,
TAS,CHUDLEIGH,7304,Lyons,,
TAS,CLAREMONT,7011,Lyons,,
TAS,CLAUDE ROAD,7306,Lyons,,
TAS,CLEVELAND,7211,Lyons,,
TAS,CLUAN,7303,Lyons,,
TAS,COLEBROOK,7027,Lyons,,
TAS,COLES BAY,7215,Lyons,,
TAS,COLLINSVALE,7012,Lyons,,
TAS,CONARA,7211,Lyons,,
TAS,CONNELLYS MARSH,7173,Lyons,,
TAS,COPPING,7174,Lyons,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
TAS,CORNWALL,7215,Lyons,,
TAS,CRADLE MOUNTAIN,7306,Lyons,,
TAS,CRAMPS BAY,7030,Lyons,,
TAS,CRANBROOK,7190,Lyons,,
TAS,CRESSY,7302,Lyons,,
TAS,DAIRY PLAINS,7304,Lyons,,
TAS,DEDDINGTON,7212,Lyons,,
TAS,DEE,7140,Lyons,,
TAS,DELORAINE,7304,Lyons,,
TAS,DERWENT BRIDGE,7140,Lyons,,
TAS,DEVON HILLS,7300,Lyons,,
TAS,DOCTORS POINT,7304,Lyons,,
TAS,DODGES FERRY,7173,Lyons,,
TAS,DOLPHIN SANDS,7190,Lyons,,
TAS,DOUGLAS RIVER,7215,Lyons,,
TAS,DROMEDARY,7030,Lyons,,
TAS,DULCOT,7025,Lyons,,
TAS,DUNALLEY,7177,Lyons,,
TAS,DUNORLAN,7304,Lyons,,
TAS,DYSART,7030,Lyons,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
TAS,EAGLEHAWK NECK,7179,Lyons,,
TAS,EDDYSTONE,7264,Lyons,,
TAS,ELDERSLIE,7030,Lyons,,
TAS,ELIZABETH TOWN,7304,Lyons,,
TAS,ELLENDALE,7140,Lyons,,
TAS,EPPING FOREST,7211,Lyons,,
TAS,ERRIBA,7310,Lyons,,
TAS,EVANDALE,7212,Lyons,,
TAS,EXTON,7303,Lyons,,
TAS,FALMOUTH,7215,Lyons,,
TAS,FENTONBURY,7140,Lyons,,
TAS,FINGAL,7214,Lyons,,
TAS,FITZGERALD,7140,Lyons,,
TAS,FLINTSTONE,7030,Lyons,,
TAS,FORCETT,7173,Lyons,,
TAS,FORTESCUE,7182,Lyons,,
TAS,FOUR MILE CREEK,7215,Lyons,,
TAS,FRANKFORD,7275,Lyons,,
TAS,FRIENDLY BEACHES,7215,Lyons,,
TAS,GAGEBROOK,7030,Lyons,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
