State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
NSW,AIRDS,2560.0,Macarthur,,
NSW,AMBARVALE,2560.0,Macarthur,,
NSW,BLAIR ATHOL,2560.0,Macarthur,,
NSW,BLAIRMOUNT,2559.0,Macarthur,,
NSW,BOW BOWING,2566.0,Macarthur,,
NSW,BRADBURY,2560.0,Macarthur,,
NSW,BRINGELLY,2556.0,Macarthur,,
NSW,CAMPBELLTOWN,2560.0,Macarthur,,
NSW,CATHERINE FIELD,2557.0,Macarthur,,
NSW,CLAYMORE,2559.0,Macarthur,,
NSW,CURRANS HILL,2567.0,Macarthur,,
NSW,DENHAM COURT,2565.0,Macarthur,,
NSW,EAGLE VALE,2558.0,Macarthur,,
NSW,ENGLORIE PARK,2560.0,Macarthur,,
NSW,ESCHOL PARK,2558.0,Macarthur,,
NSW,GILEAD,2560.0,Macarthur,,
NSW,GLEDSWOOD HILLS,2557.0,Macarthur,,
NSW,GLEN ALPINE,2560.0,Macarthur,,
NSW,GREGORY HILLS,2557.0,Macarthur,,
NSW,HARRINGTON PARK,2567.0,Macarthur,,
12,12,12.0,12,12.0,12.0
1,2,,,,
NSW,INGLEBURN,2565.0,Macarthur,,
NSW,KEARNS,2558.0,Macarthur,,
NSW,KENTLYN,2560.0,Macarthur,,
NSW,LEPPINGTON,2179.0,Macarthur,,
NSW,LEUMEAH,2560.0,Macarthur,,
NSW,MENANGLE PARK,2563.0,Macarthur,,
NSW,MINTO,2566.0,Macarthur,,
NSW,MINTO HEIGHTS,2566.0,Macarthur,,
NSW,NARELLAN,2567.0,Macarthur,,
NSW,ORAN PARK,2570.0,Macarthur,,
NSW,RABY,2566.0,Macarthur,,
NSW,ROSEMEADOW,2560.0,Macarthur,,
NSW,ROSSMORE,2557.0,Macarthur,,
NSW,RUSE,2560.0,Macarthur,,
NSW,SMEATON GRANGE,2567.0,Macarthur,,
NSW,ST ANDREWS,2566.0,Macarthur,,
NSW,ST HELENS PARK,2560.0,Macarthur,,
NSW,VARROVILLE,2566.0,Macarthur,,
NSW,WEDDERBURN,2560.0,Macarthur,,
NSW,WOODBINE,2560.0,Macarthur,,
12,12,12.0,12,12.0,12.0
1,2,,,,
