State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
NSW,AKUNA BAY,2084,Mackellar,,TERREY HILLS
NSW,AVALON BEACH,2107,Mackellar,,
NSW,BAYVIEW,2104,Mackellar,,
NSW,BEACON HILL,2100,Mackellar,,
NSW,BELROSE,2085,Mackellar,,
NSW,BILGOLA,2107,Mackellar,,BILGOLA BEACH
NSW,BILGOLA,2107,Mackellar,,BILGOLA PLATEAU
NSW,BILGOLA BEACH,2107,Mackellar,,
NSW,BILGOLA PLATEAU,2107,Mackellar,,
NSW,BUNGAN BEACH,2106,Mackellar,,NEWPORT
NSW,CAREEL BAY,2107,Mackellar,,
NSW,CHURCH POINT,2105,Mackellar,,
NSW,CLAREVILLE,2107,Mackellar,,
NSW,COASTERS RETREAT,2108,Mackellar,,
NSW,COLLAROY,2097,Mackellar,,
NSW,COLLAROY PLATEAU,2097,Mackellar,,
NSW,COTTAGE POINT,2084,Mackellar,,
NSW,CROMER,2099,Mackellar,,
NSW,DAVIDSON,2085,Mackellar,,
NSW,DEE WHY,2099,Mackellar,,
123,123,123,123,123.0,123
1,2,3,,,
NSW,DUFFYS FOREST,2084,Mackellar,,
NSW,ELANORA HEIGHTS,2101,Mackellar,,
NSW,ELVINA BAY,2105,Mackellar,,
NSW,FORESTVILLE,2087,Mackellar,,
NSW,FRENCHS FOREST,2086,Mackellar,,
NSW,GREAT MACKEREL BEACH,2108,Mackellar,,
NSW,INGLESIDE,2101,Mackellar,,
NSW,KU-RING-GAI CHASE,2084,Mackellar,,
NSW,LOVETT BAY,2105,Mackellar,,
NSW,MCCARRS CREEK,2105,Mackellar,,
NSW,MONA VALE,2103,Mackellar,,
NSW,MORNING BAY,2105,Mackellar,,
NSW,NARRABEEN,2101,Mackellar,,
NSW,NARRAWEENA,2099,Mackellar,,
NSW,NEWPORT,2106,Mackellar,,
NSW,NORTH NARRABEEN,2101,Mackellar,,
NSW,OXFORD FALLS,2100,Mackellar,,
NSW,PALM BEACH,2108,Mackellar,,
NSW,SCOTLAND ISLAND,2105,Mackellar,,
NSW,TERREY HILLS,2084,Mackellar,,
123,123,123,123,123.0,123.0
1,2,3,,,
NSW,TOWLERS BAY,2105,Mackellar,,MORNING BAY
NSW,WARRIEWOOD,2102,Mackellar,,
NSW,WHALE BEACH,2107,Mackellar,,
NSW,WHEELER HEIGHTS,2097,Mackellar,,
123,123,123,123,123.0,123
1,2,3,,,
