State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
QLD,ADAVALE,4474,Maranoa,,
QLD,ALICE CREEK,4610,Maranoa,,
QLD,ALLAN,4370,Maranoa,,
QLD,ALLORA,4362,Maranoa,,
QLD,ALPHA,4724,Maranoa,,
QLD,AMBY,4462,Maranoa,,
QLD,AMIENS,4380,Maranoa,,
QLD,ANDURAMBA,4355,Maranoa,,
QLD,APPLETHORPE,4378,Maranoa,,
QLD,ARAMAC,4726,Maranoa,,
QLD,AUBURN,4413,Maranoa,,
QLD,AUGATHELLA,4477,Maranoa,,
QLD,BACK PLAINS,4361,Maranoa,,
QLD,BAFFLE WEST,4454,Maranoa,,
QLD,BAKERS BEND,4470,Maranoa,,
QLD,BAKING BOARD,4413,Maranoa,,
QLD,BALLANDEAN,4382,Maranoa,,
QLD,BALLAROO,4455,Maranoa,,
QLD,BAPAUME,4352,Maranoa,,
QLD,BARAKULA,4413,Maranoa,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
QLD,BARCALDINE,4725,Maranoa,,
QLD,BARGUNYAH,4465,Maranoa,,
QLD,BARKER CREEK FLAT,4615,Maranoa,,
QLD,BARRAMORNIE,4416,Maranoa,,
QLD,BARRINGUN,4490,Maranoa,,
QLD,BAYRICK,4478,Maranoa,,
QLD,BEDOURIE,4829,Maranoa,,
QLD,BEEBO,4385,Maranoa,,
QLD,BEELBEE,4413,Maranoa,,
QLD,BEGONIA,4487,Maranoa,,
QLD,BEILBA,4454,Maranoa,,
QLD,BELL,4408,Maranoa,,
QLD,BENAIR,4610,Maranoa,,
QLD,BENARKIN,4314,Maranoa,,
QLD,BENARKIN NORTH,4314,Maranoa,,
QLD,BERAT,4362,Maranoa,,
QLD,BERGEN,4353,Maranoa,,
QLD,BILLA BILLA,4390,Maranoa,,
QLD,BINDEBANGO,4488,Maranoa,,
QLD,BIRDSVILLE,4482,Maranoa,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
QLD,BLACKALL,4472,Maranoa,,
QLD,BLACKBUTT,4314,Maranoa,,
QLD,BLACKBUTT NORTH,4314,Maranoa,,
QLD,BLACKBUTT SOUTH,4314,Maranoa,,
QLD,BLACKSWAMP,4413,Maranoa,,
QLD,BLAXLAND,4405,Maranoa,,
QLD,BLYTHDALE,4455,Maranoa,,
QLD,BOATMAN,4468,Maranoa,,
QLD,BOGANDILLA,4425,Maranoa,,
QLD,BOLLON,4488,Maranoa,,
QLD,BONSHAW,4385,Maranoa,,
QLD,BONY MOUNTAIN,4370,Maranoa,,
QLD,BOOIE,4610,Maranoa,,
QLD,BOONARGA,4413,Maranoa,,
QLD,BOYNESIDE,4610,Maranoa,,
QLD,BRIGALOW,4412,Maranoa,,
QLD,BRINGALILY,4357,Maranoa,,
QLD,BROADWATER,4380,Maranoa,,
QLD,BROOKLANDS,4615,Maranoa,,
QLD,BRUSH CREEK,4387,Maranoa,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
QLD,BULLCAMP,4615,Maranoa,,
QLD,BULLI CREEK,4357,Maranoa,,
QLD,BULLOO DOWNS,4492,Maranoa,,
QLD,BUNDI,4427,Maranoa,,
QLD,BUNGABAN,4419,Maranoa,,
QLD,BUNGEWORGORAI,4455,Maranoa,,
QLD,BUNGIL,4455,Maranoa,,
QLD,BUNGUNYA,4494,Maranoa,,
QLD,BUNYA MOUNTAINS,4405,Maranoa,,
QLD,BURNCLUITH,4413,Maranoa,,
QLD,BURRA BURRI,4413,Maranoa,,
QLD,BYBERA,4387,Maranoa,,
QLD,BYMOUNT,4455,Maranoa,,
QLD,CADARGA,4626,Maranoa,,
QLD,CALDERVALE,4478,Maranoa,,
QLD,CALINGUNEE,4390,Maranoa,,
QLD,CALLANDOON,4390,Maranoa,,
QLD,CAMEBY,4413,Maranoa,,
QLD,CAMERON CORNER,4492,Maranoa,,
QLD,CANAGA,4413,Maranoa,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
QLD,CANNING CREEK,4357,Maranoa,,
QLD,CANNINGVALE,4370,Maranoa,,
QLD,CANNON CREEK,4380,Maranoa,,
QLD,CAPTAINS MOUNTAIN,4357,Maranoa,,
QLD,CAROLINE CROSSING,4477,Maranoa,,
QLD,CATTLE CREEK,4407,Maranoa,,
QLD,CECIL PLAINS,4407,Maranoa,,
QLD,CEMENT MILLS,4352,Maranoa,,
QLD,CHAHPINGAH,4610,Maranoa,,
QLD,CHANCES PLAIN,4413,Maranoa,,
QLD,CHARLEVILLE,4470,Maranoa,,
QLD,CHEEPIE,4475,Maranoa,,
QLD,CHERRY CREEK,4314,Maranoa,,
QLD,CHERRY GULLY,4370,Maranoa,,
QLD,CHINCHILLA,4413,Maranoa,,
QLD,CLARA CREEK,4468,Maranoa,,
QLD,CLIFFORD,4427,Maranoa,,
QLD,CLIFTON,4361,Maranoa,,
QLD,CLINTONVALE,4370,Maranoa,,
QLD,CLONTARF,4357,Maranoa,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
