State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
VIC,ABERFELDIE,3040.0,Maribyrnong,,
VIC,AIRPORT WEST,3042.0,Maribyrnong,,
VIC,ASCOT VALE,3032.0,Maribyrnong,,
VIC,AVONDALE HEIGHTS,3034.0,Maribyrnong,,
VIC,ESSENDON,3040.0,Maribyrnong,,
VIC,ESSENDON FIELDS,3041.0,Maribyrnong,,
VIC,ESSENDON NORTH,3041.0,Maribyrnong,,
VIC,ESSENDON WEST,3040.0,Maribyrnong,,
VIC,FLEMINGTON,3031.0,Maribyrnong,,
VIC,FOOTSCRAY,3011.0,Maribyrnong,,
VIC,GOWANBRAE,3043.0,Maribyrnong,,
VIC,KEILOR EAST,3033.0,Maribyrnong,,
VIC,MAIDSTONE,3012.0,Maribyrnong,,
VIC,MARIBYRNONG,3032.0,Maribyrnong,,
VIC,MOONEE PONDS,3039.0,Maribyrnong,,
VIC,NIDDRIE,3042.0,Maribyrnong,,
VIC,STRATHMORE,3041.0,Maribyrnong,,
VIC,STRATHMORE HEIGHTS,3041.0,Maribyrnong,,
VIC,TRAVANCORE,3032.0,Maribyrnong,,
VIC,TULLAMARINE,3043.0,Maribyrnong,,
12,12,12.0,12,12.0,12.0
1,2,,,,
VIC,WEST FOOTSCRAY,3012.0,Maribyrnong,,
12,12,12.0,12,12.0,12.0
1,2,,,,
