State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
VIC,ARTHURS CREEK,3099,McEwen,,
VIC,BEND OF ISLANDS,3097,McEwen,,
VIC,BEVERIDGE,3753,McEwen,,
VIC,BOLINDA,3432,McEwen,,
VIC,BULLA,3428,McEwen,,
VIC,BULLENGAROOK,3437,McEwen,,
VIC,BYLANDS,3762,McEwen,,
VIC,CHEROKEE,3434,McEwen,,
VIC,CHINTIN,3756,McEwen,,
VIC,CHRISTMAS HILLS,3775,McEwen,,
VIC,CLARKEFIELD,3430,McEwen,,
VIC,CLONBINANE,3658,McEwen,,
VIC,COBAW,3442,McEwen,,
VIC,COTTLES BRIDGE,3099,McEwen,,
VIC,DARRAWEIT GUIM,3756,McEwen,,
VIC,DIGGERS REST,3427,McEwen,,
VIC,DONNYBROOK,3064,McEwen,,
VIC,DOREEN,3754,McEwen,,
VIC,EDEN PARK,3757,McEwen,,
VIC,FORBES,3764,McEwen,,
1234,1234,1234,1234,1234.0,1234.0
1,2,3,4,,
VIC,GISBORNE,3437,McEwen,,
VIC,GISBORNE SOUTH,3437,McEwen,,
VIC,GOLDIE,3435,McEwen,,
VIC,HEATHCOTE JUNCTION,3758,McEwen,,
VIC,HESKET,3442,McEwen,,
VIC,HIDDEN VALLEY,3756,McEwen,,WALLAN
VIC,HUMEVALE,3757,McEwen,,
VIC,HURSTBRIDGE,3099,McEwen,,
VIC,KANGAROO GROUND,3097,McEwen,,
VIC,KERRIE,3434,McEwen,,
VIC,KILMORE,3764,McEwen,,
VIC,KILMORE EAST,3764,McEwen,,
VIC,KINGLAKE,3763,McEwen,,
VIC,KINGLAKE WEST,3757,McEwen,,
VIC,LANCEFIELD,3435,McEwen,,
VIC,MACEDON,3440,McEwen,,
VIC,MERNDA,3754,McEwen,,
VIC,MONEGEETTA,3433,McEwen,,
VIC,MORANDING,3764,McEwen,,
VIC,MOUNT MACEDON,3441,McEwen,,
1234,1234,1234,1234,1234.0,1234
1,2,3,4,,
VIC,NEW GISBORNE,3438,McEwen,,
VIC,NUTFIELD,3099,McEwen,,
VIC,OAKLANDS JUNCTION,3063,McEwen,,
VIC,PANTON HILL,3759,McEwen,,
VIC,RIDDELLS CREEK,3431,McEwen,,
VIC,ROCHFORD,3442,McEwen,,
VIC,ROMSEY,3434,McEwen,,
VIC,SMITHS GULLY,3760,McEwen,,
VIC,SPRINGFIELD,3434,McEwen,,
VIC,ST ANDREWS,3761,McEwen,,
VIC,STRATHEWEN,3099,McEwen,,
VIC,SUNBURY,3429,McEwen,,
VIC,TANTARABOO,3764,McEwen,,
VIC,TOOLERN VALE,3337,McEwen,,
VIC,UPPER PLENTY,3756,McEwen,,
VIC,WALLAN,3756,McEwen,,
VIC,WANDONG,3758,McEwen,,
VIC,WATERFORD PARK,3658,McEwen,,
VIC,WATSONS CREEK,3097,McEwen,,
VIC,WHITTLESEA,3757,McEwen,,
1234,1234,1234,1234,1234.0,1234.0
1,2,3,4,,
VIC,WILDWOOD,3429,McEwen,,
VIC,WILLOWMAVIN,3764,McEwen,,
VIC,WOLLERT,3750,McEwen,,
VIC,WOODSTOCK,3751,McEwen,,
VIC,YAN YEAN,3755,McEwen,,
VIC,YARRAMBAT,3091,McEwen,,
1234,1234,1234,1234,1234.0,1234.0
1,2,3,4,,
