State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
VIC,BULLEEN,3105.0,Menzies,,
VIC,CROYDON HILLS,3136.0,Menzies,,
VIC,DONCASTER,3108.0,Menzies,,
VIC,DONCASTER EAST,3109.0,Menzies,,
VIC,DONVALE,3111.0,Menzies,,
VIC,EAST DONCASTER,3109.0,Menzies,,DONCASTER EAST
VIC,ELTHAM,3095.0,Menzies,,
VIC,ELTHAM NORTH,3095.0,Menzies,,
VIC,KANGAROO GROUND,3097.0,Menzies,,
VIC,LOWER TEMPLESTOWE,3107.0,Menzies,,TEMPLESTOWE LOWER
VIC,NORTH RINGWOOD,3134.0,Menzies,,RINGWOOD NORTH
VIC,NORTH WARRANDYTE,3113.0,Menzies,,
VIC,PARK ORCHARDS,3114.0,Menzies,,
VIC,RESEARCH,3095.0,Menzies,,
VIC,RINGWOOD NORTH,3134.0,Menzies,,
VIC,SOUTH WARRANDYTE,3134.0,Menzies,,WARRANDYTE SOUTH
VIC,TEMPLESTOWE,3106.0,Menzies,,
VIC,TEMPLESTOWE LOWER,3107.0,Menzies,,
VIC,WARRANDYTE,3113.0,Menzies,,
VIC,WARRANDYTE SOUTH,3134.0,Menzies,,
12,12,12.0,12,12.0,12
1,2,,,,
VIC,WARRANWOOD,3134.0,Menzies,,
VIC,WATSONS CREEK,3097.0,Menzies,,
VIC,WONGA PARK,3115.0,Menzies,,
12,12,12.0,12,12.0,12.0
1,2,,,,
