State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
NSW,BAULKHAM HILLS,2153,Mitchell,,
NSW,BEAUMONT HILLS,2155,Mitchell,,
NSW,BELLA VISTA,2153,Mitchell,,
NSW,BOX HILL,2765,Mitchell,,
NSW,CASTLE HILL,2154,Mitchell,,
NSW,GLENHAVEN,2156,Mitchell,,
NSW,KELLYVILLE,2155,Mitchell,,
NSW,MARAYLYA,2765,Mitchell,,
NSW,NELSON,2765,Mitchell,,
NSW,NORTH KELLYVILLE,2155,Mitchell,,
NSW,NORTH ROCKS,2151,Mitchell,,
NSW,NORTHMEAD,2152,Mitchell,,
NSW,NORWEST,2153,Mitchell,,
NSW,OLD TOONGABBIE,2146,Mitchell,,
NSW,ROUSE HILL,2155,Mitchell,,
NSW,WEST PENNANT HILLS,2125,Mitchell,,
NSW,WINSTON HILLS,2153,Mitchell,,
