State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
VIC,ABERFELDY,3825,Monash,,
VIC,ADA,3833,Monash,,
VIC,ADAMS ESTATE,3984,Monash,,
VIC,AGNES,3962,Monash,,
VIC,ALLAMBEE,3823,Monash,,
VIC,ALLAMBEE RESERVE,3871,Monash,,
VIC,ALLAMBEE SOUTH,3871,Monash,,
VIC,ALMURTA,3979,Monash,,
VIC,AMOR,3825,Monash,,
VIC,ANDERSON,3995,Monash,,
VIC,ARAWATA,3951,Monash,,
VIC,ARCHIES CREEK,3995,Monash,,
VIC,ATHLONE,3818,Monash,,
VIC,BAROMI,3871,Monash,,
VIC,BASS,3991,Monash,,
VIC,BAW BAW,3833,Monash,,
VIC,BAW BAW VILLAGE,3833,Monash,,
VIC,BAYLES,3981,Monash,,
VIC,BENA,3946,Monash,,
VIC,BENNISON,3960,Monash,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
VIC,BERRYS CREEK,3953,Monash,,
VIC,BINGINWARRI,3966,Monash,,
VIC,BONA VISTA,3820,Monash,,
VIC,BOOLA,3825,Monash,,
VIC,BOOLARONG,3960,Monash,,
VIC,BOOROOL,3953,Monash,,
VIC,BRANDY CREEK,3821,Monash,,
VIC,BRAVINGTON,3821,Monash,,
VIC,BUFFALO,3958,Monash,,
VIC,BULN BULN,3821,Monash,,
VIC,BULN BULN EAST,3821,Monash,,
VIC,BUNYIP,3815,Monash,,
VIC,BUNYIP NORTH,3815,Monash,,
VIC,CALDERMEADE,3984,Monash,,
VIC,CAPE PATERSON,3995,Monash,,
VIC,CAPE WOOLAMAI,3925,Monash,,
VIC,CARDINIA,3978,Monash,,
VIC,CARINGAL,3825,Monash,,
VIC,CATANI,3981,Monash,,
VIC,CHILDERS,3824,Monash,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
VIC,CHURCHILL ISLAND,3925,Monash,,
VIC,CLOVERLEA,3822,Monash,,
VIC,COALVILLE,3825,Monash,,
VIC,COOPERS CREEK,3825,Monash,,
VIC,CORA LYNN,3814,Monash,,
VIC,CORINELLA,3984,Monash,,
VIC,CORONET BAY,3984,Monash,,
VIC,COWES,3922,Monash,,
VIC,CROSSOVER,3821,Monash,,
VIC,DALMORE,3981,Monash,,
VIC,DALYSTON,3992,Monash,,
VIC,DARLIMURLA,3871,Monash,,
VIC,DARNUM,3822,Monash,,
VIC,DELBURN,3871,Monash,,
VIC,DOLLAR,3871,Monash,,
VIC,DROUIN,3818,Monash,,
VIC,DROUIN EAST,3818,Monash,,
VIC,DROUIN SOUTH,3818,Monash,,
VIC,DROUIN WEST,3818,Monash,,
VIC,DUDLEY,3995,Monash,,WONTHAGGI
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
VIC,DUMBALK,3956,Monash,,
VIC,DUMBALK NORTH,3956,Monash,,
VIC,ELLINBANK,3821,Monash,,
VIC,ERICA,3825,Monash,,
VIC,FAIRBANK,3951,Monash,,
VIC,FERNDALE,3821,Monash,,
VIC,FISH CREEK,3959,Monash,,
VIC,FOSTER,3960,Monash,,
VIC,FOSTER NORTH,3960,Monash,,
VIC,FUMINA,3825,Monash,,
VIC,FUMINA SOUTH,3825,Monash,,
VIC,GAINSBOROUGH,3822,Monash,,
VIC,GARFIELD,3814,Monash,,
VIC,GARFIELD NORTH,3814,Monash,,
VIC,GENTLE ANNIE,3833,Monash,,
VIC,GLEN ALVIE,3979,Monash,,
VIC,GLEN FORBES,3990,Monash,,
VIC,GRANTVILLE,3984,Monash,,
VIC,GUNYAH,3960,Monash,,
VIC,HALLORA,3818,Monash,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
VIC,HALLSTON,3953,Monash,,
VIC,HARMERS HAVEN,3995,Monash,,
VIC,HAZEL PARK,3966,Monash,,
VIC,HEATH HILL,3981,Monash,,
VIC,HEDLEY,3967,Monash,,
VIC,HERNES OAK,3825,Monash,,
VIC,HILL END,3825,Monash,,
VIC,ICY CREEK,3833,Monash,,
VIC,INVERLOCH,3996,Monash,,
VIC,IONA,3815,Monash,,
VIC,JACOB CREEK,3825,Monash,,
VIC,JAM JERRUP,3984,Monash,,
VIC,JEETHO,3945,Monash,,
VIC,JINDIVICK,3818,Monash,,
VIC,JUMBUNNA,3951,Monash,,
VIC,KARDELLA,3951,Monash,,
VIC,KARDELLA SOUTH,3950,Monash,,
VIC,KERNOT,3979,Monash,,
VIC,KILCUNDA,3995,Monash,,
VIC,KONGWAK,3951,Monash,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
