State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
QLD,ACACIA RIDGE,4110.0,Moreton,,
QLD,ANNERLEY,4103.0,Moreton,,
QLD,ARCHERFIELD,4108.0,Moreton,,
QLD,CHELMER,4068.0,Moreton,,
QLD,COOPERS PLAINS,4108.0,Moreton,,
QLD,CORINDA,4075.0,Moreton,,
QLD,EIGHT MILE PLAINS,4113.0,Moreton,,
QLD,EKIBIN,4121.0,Moreton,,TARRAGINDI
QLD,FAIRFIELD,4103.0,Moreton,,
QLD,FRUITGROVE,4113.0,Moreton,,RUNCORN
QLD,GRACEVILLE,4075.0,Moreton,,
QLD,KURABY,4112.0,Moreton,,
QLD,MACGREGOR,4109.0,Moreton,,
QLD,MOOROOKA,4105.0,Moreton,,
QLD,NATHAN,4111.0,Moreton,,
QLD,OXLEY,4075.0,Moreton,,
QLD,PALLARA,4110.0,Moreton,,
QLD,PARK RIDGE,4125.0,Moreton,,
QLD,ROBERTSON,4109.0,Moreton,,
QLD,ROCKLEA,4106.0,Moreton,,
12,12,12.0,12,12.0,12
1,2,,,,
QLD,RUNCORN,4113.0,Moreton,,
QLD,SALISBURY,4107.0,Moreton,,
QLD,SHERWOOD,4075.0,Moreton,,
QLD,SUNNYBANK,4109.0,Moreton,,
QLD,SUNNYBANK HILLS,4109.0,Moreton,,
QLD,TARRAGINDI,4121.0,Moreton,,
QLD,TENNYSON,4105.0,Moreton,,
QLD,WELLERS HILL,4121.0,Moreton,,TARRAGINDI
QLD,WILLAWONG,4110.0,Moreton,,
QLD,YEERONGPILLY,4105.0,Moreton,,
QLD,YERONGA,4104.0,Moreton,,
12,12,12.0,12,12.0,12
1,2,,,,
