State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
NSW,ADAMSTOWN,2289,Newcastle,,
NSW,ADAMSTOWN HEIGHTS,2289,Newcastle,,
NSW,ASH ISLAND,2322,Newcastle,,KOORAGANG
NSW,BAR BEACH,2300,Newcastle,,
NSW,BIRMINGHAM GARDENS,2287,Newcastle,,
NSW,BROADMEADOW,2292,Newcastle,,
NSW,CALLAGHAN,2308,Newcastle,,
NSW,CARDIFF HEIGHTS,2285,Newcastle,,
NSW,CARRINGTON,2294,Newcastle,,
NSW,COOKS HILL,2300,Newcastle,,
NSW,ELERMORE VALE,2287,Newcastle,,
NSW,FLETCHER,2287,Newcastle,,
NSW,GEORGETOWN,2298,Newcastle,,
NSW,GLENDALE,2285,Newcastle,,
NSW,HAMILTON,2303,Newcastle,,
NSW,HAMILTON EAST,2303,Newcastle,,
NSW,HAMILTON NORTH,2292,Newcastle,,
NSW,HAMILTON SOUTH,2303,Newcastle,,
NSW,HEXHAM,2322,Newcastle,,
NSW,ISLINGTON,2296,Newcastle,,
123,123,123,123,123.0,123
1,2,3,,,
NSW,JESMOND,2299,Newcastle,,
NSW,KOORAGANG,2304,Newcastle,,
NSW,KOTARA,2289,Newcastle,,
NSW,LAMBTON,2299,Newcastle,,
NSW,MARYLAND,2287,Newcastle,,
NSW,MARYVILLE,2293,Newcastle,,
NSW,MAYFIELD,2304,Newcastle,,
NSW,MAYFIELD EAST,2304,Newcastle,,
NSW,MAYFIELD NORTH,2304,Newcastle,,
NSW,MAYFIELD WEST,2304,Newcastle,,
NSW,MEREWETHER,2291,Newcastle,,
NSW,MEREWETHER HEIGHTS,2291,Newcastle,,
NSW,MINMI,2287,Newcastle,,
NSW,NEW LAMBTON,2305,Newcastle,,
NSW,NEW LAMBTON HEIGHTS,2305,Newcastle,,
NSW,NEWCASTLE,2300,Newcastle,,
NSW,NEWCASTLE EAST,2300,Newcastle,,
NSW,NEWCASTLE UNIVERSITY,2308,Newcastle,,CALLAGHAN
NSW,NEWCASTLE WEST,2302,Newcastle,,
NSW,NORTH LAMBTON,2299,Newcastle,,
123,123,123,123,123.0,123
1,2,3,,,
NSW,RANKIN PARK,2287,Newcastle,,
NSW,SANDGATE,2304,Newcastle,,
NSW,SHORTLAND,2307,Newcastle,,
NSW,STOCKTON,2295,Newcastle,,
NSW,THE HILL,2300,Newcastle,,
NSW,THE JUNCTION,2291,Newcastle,,
NSW,TIGHES HILL,2297,Newcastle,,
NSW,WALLSEND,2287,Newcastle,,
NSW,WARABROOK,2304,Newcastle,,
NSW,WARATAH,2298,Newcastle,,
NSW,WARATAH WEST,2298,Newcastle,,
NSW,WICKHAM,2293,Newcastle,,
123,123,123,123,123.0,123.0
1,2,3,,,
