State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s),Unnamed: 6
WA,ADAMSVALE,6375,O'Connor,,,
WA,ALBANY,6330,O'Connor,,,
WA,ALDERSYDE,6306,O'Connor,,,
WA,ALLANSON,6225,O'Connor,,,
WA,AMELUP,6338,O'Connor,,,
WA,ARTHUR RIVER,6315,O'Connor,,,
WA,BADGEBUP,6317,O'Connor,,,
WA,BALBARRUP,6258,O'Connor,,,
WA,BALLADONIA,6443,O'Connor,,,
WA,BALLAYING,6315,O'Connor,,,
WA,BANDY CREEK,6450,O'Connor,,,
WA,BANDYA,6440,O'Connor,,,
WA,BANNISTER,6390,O'Connor,,,
WA,BAYONET HEAD,6330,O'Connor,,,
WA,BEADELL,6440,O'Connor,,,
WA,BEAUFORT RIVER,6394,O'Connor,,,
WA,BEAUMONT,6450,O'Connor,,,
WA,BEEDELUP,6260,O'Connor,,,
WA,BEENONG,6353,O'Connor,,,
WA,BENJINUP,6255,O'Connor,,,
12345...,12345...,12345...,12345...,12345...,12345...,
1,2,3,4,5,...,
WA,BIG GROVE,6330,O'Connor,,,
WA,BILBARIN,6375,O'Connor,,,
WA,BINDULI,6430,O'Connor,,,
WA,BOBALONG,6320,O'Connor,,,
WA,BOILUP,6394,O'Connor,,,
WA,BOKAL,6392,O'Connor,,,
WA,BOORABBIN,6429,O'Connor,,,
WA,BOORARA BROOK,6262,O'Connor,,,
WA,BORDEN,6338,O'Connor,,,
WA,BORDERDALE,6320,O'Connor,,,
WA,BORNHOLM,6330,O'Connor,,,
WA,BOSCABEL,6394,O'Connor,,,
WA,BOULDER,6432,O'Connor,,,
WA,BOUNDAIN,6312,O'Connor,,,
WA,BOW BRIDGE,6333,O'Connor,,,
WA,BOWELLING,6225,O'Connor,,,
WA,BOXWOOD HILL,6338,O'Connor,,,
WA,BOYATUP,6450,O'Connor,,,
WA,BOYERINE,6316,O'Connor,,,
WA,BOYUP BROOK,6244,O'Connor,,,
12345...,12345...,12345...,12345...,12345...,12345...,
1,2,3,4,5,...,
WA,BREMER BAY,6338,O'Connor,,,
WA,BRIDGETOWN,6255,O'Connor,,,
WA,BROAD ARROW,6431,O'Connor,,,
WA,BROADWOOD,6430,O'Connor,,,
WA,BROKE,6398,O'Connor,,,
WA,BROOKTON,6306,O'Connor,,,
WA,BROOMEHILL EAST,6318,O'Connor,,,
WA,BROOMEHILL VILLAGE,6318,O'Connor,,,
WA,BROOMEHILL WEST,6318,O'Connor,,,
WA,BROWN HILL,6431,O'Connor,,,
WA,BUCKINGHAM,6225,O'Connor,,,
WA,BULLABULLING,6429,O'Connor,,,
WA,BULLARING,6373,O'Connor,,,
WA,BULLOCK HILLS,6317,O'Connor,,,
WA,BULONG,6431,O'Connor,,,
WA,BULYEE,6306,O'Connor,,,
WA,BUNICHE,6353,O'Connor,,,
WA,BURAMINYA,6452,O'Connor,,,
WA,CAIGUNA,6443,O'Connor,,,
WA,CALLCUP,6260,O'Connor,,,
12345...,12345...,12345...,12345...,12345...,12345...,
1,2,3,4,5,...,
WA,CANCANNING,6315,O'Connor,,,
WA,CAPE ARID,6452,O'Connor,,,
WA,CAPE LE GRAND,6450,O'Connor,,,
WA,CARDIFF,6225,O'Connor,,,
WA,CARROLUP,6317,O'Connor,,,
WA,CARTMETICUP,6316,O'Connor,,,
WA,CASCADE,6450,O'Connor,,,
WA,CASTLETOWN,6450,O'Connor,,,
WA,CATTERICK,6255,O'Connor,,,
WA,CENTENNIAL PARK,6330,O'Connor,,,
WA,CHADWICK,6450,O'Connor,,,
WA,CHANGERUP,6394,O'Connor,,,
WA,CHANNYBEARUP,6260,O'Connor,,,
WA,CHERRY TREE POOL,6395,O'Connor,,,
WA,CHEYNES,6328,O'Connor,,,
WA,CHOWERUP,6244,O'Connor,,,
WA,COBLININE,6317,O'Connor,,,
WA,COCKLEBIDDY,6443,O'Connor,,,
WA,CODJATOTINE,6308,O'Connor,,,
WA,COLLANILLING,6315,O'Connor,,,
12345...,12345...,12345...,12345...,12345...,12345...,
1,2,3,4,5,...,
WA,COLLIE,6225,O'Connor,,,
WA,COLLIE BURN,6225,O'Connor,,,
WA,COLLINGWOOD HEIGHTS,6330,O'Connor,,,
WA,COLLINGWOOD PARK,6330,O'Connor,,,
WA,COLLINS,6260,O'Connor,,,
WA,COMMODINE,6311,O'Connor,,,
WA,CONDINGUP,6450,O'Connor,,,
WA,CONTINE,6311,O'Connor,,,
WA,COOLGARDIE,6429,O'Connor,,,
WA,COOMALBIDGUP,6450,O'Connor,,,
WA,CORRIGIN,6375,O'Connor,,,
WA,COSMO NEWBERY,6440,O'Connor,,,
WA,COWALELLUP,6336,O'Connor,,,
WA,COYRECUP,6317,O'Connor,,,
WA,CRANBROOK,6321,O'Connor,,,
WA,CROWEA,6262,O'Connor,,,
WA,CUBALLING,6311,O'Connor,,,
WA,CUNDEELEE,6434,O'Connor,,,
WA,CUTHBERT,6330,O'Connor,,,
WA,DALYUP,6450,O'Connor,,,
12345...,12345...,12345...,12345...,12345...,12345...,
1,2,3,4,5,...,
WA,DARDADINE,6392,O'Connor,,,
WA,DARKAN,6392,O'Connor,,,
WA,DARTNALL,6320,O'Connor,,,
WA,DATATINE,6317,O'Connor,,,
WA,DEANMILL,6258,O'Connor,,,
WA,DENBARKER,6324,O'Connor,,,
WA,DENMARK,6333,O'Connor,,,
WA,DIAMOND TREE,6258,O'Connor,,,
WA,DINGUP,6258,O'Connor,,,
WA,DINNINUP,6244,O'Connor,,,
WA,DIXVALE,6258,O'Connor,,,
WA,DONGOLOCKING,6315,O'Connor,,,
WA,DROME,6330,O'Connor,,,
WA,DRYANDRA,6311,O'Connor,,,
WA,DUDININ,6363,O'Connor,,,
WA,DUMBERNING,6312,O'Connor,,,
WA,DUMBLEYUNG,6350,O'Connor,,,
WA,DUNN ROCK,6355,O'Connor,,,
WA,DURANILLIN,6393,O'Connor,,,
WA,DWARDA,6308,O'Connor,,,
...678910...,...678910...,...678910...,...678910...,...678910...,...678910...,
...,6,7,8,9,10,...
WA,EAST MUNGLINUP,6450,O'Connor,,,
WA,EAST NEWDEGATE,6355,O'Connor,,,
WA,EAST PINGELLY,6308,O'Connor,,,
WA,EAST POPANYINNING,6309,O'Connor,,,
WA,EAST WICKEPIN,6370,O'Connor,,,
WA,EASTBROOK,6260,O'Connor,,,
WA,ELLEKER,6330,O'Connor,,,
WA,EMU FLAT,6431,O'Connor,,,
WA,EMU POINT,6330,O'Connor,,,
WA,ESPERANCE,6450,O'Connor,,,
WA,EUCLA,6443,O'Connor,,,
WA,EWLYAMARTUP,6317,O'Connor,,,
WA,FEYSVILLE,6431,O'Connor,,,
WA,FITZGERALD,6337,O'Connor,,,
WA,FITZGERALD RIVER NAT PK,6346,O'Connor,,,
WA,FLINDERS PARK,6330,O'Connor,,BAYONET HEAD,
WA,FOREST HILL,6324,O'Connor,,,
WA,FORREST,6434,O'Connor,,,
WA,FORRESTANIA,6359,O'Connor,,,
WA,FRANKLAND RIVER,6396,O'Connor,,,
...678910...,...678910...,...678910...,...678910...,...678910...,...678910...,
...,6,7,8,9,10,...
WA,FRASER RANGE,6443,O'Connor,,,
WA,FRENCHMAN BAY,6330,O'Connor,,,
WA,GAIRDNER,6337,O'Connor,,,
WA,GIBSON,6448,O'Connor,,,
WA,GIBSON DESERT SOUTH,0872,O'Connor,,,
WA,GILLIMANNING,6308,O'Connor,,,
WA,GLEDHOW,6330,O'Connor,,,
WA,GLENCOE,6316,O'Connor,,,
WA,GLENLYNN,6256,O'Connor,,,
WA,GLENORAN,6258,O'Connor,,,
WA,GNOWANGERUP,6335,O'Connor,,,
WA,GNOWELLEN,6328,O'Connor,,,
WA,GOODE BEACH,6330,O'Connor,,,
WA,GORGE ROCK,6375,O'Connor,,,
WA,GRASS PATCH,6446,O'Connor,,,
WA,GREEN RANGE,6328,O'Connor,,,
WA,GREEN VALLEY,6330,O'Connor,,,
WA,GREENBUSHES,6254,O'Connor,,,
WA,GUNDARING,6315,O'Connor,,,
WA,HANNANS,6430,O'Connor,,,
...678910...,...678910...,...678910...,...678910...,...678910...,...678910...,
...,6,7,8,9,10,...
WA,HARRIS RIVER,6225,O'Connor,,,
WA,HARRISMITH,6361,O'Connor,,,
WA,HASTINGS,6308,O'Connor,,,
WA,HAY,6333,O'Connor,,,
WA,HAZELVALE,6333,O'Connor,,,
WA,HESTER,6255,O'Connor,,,
WA,HESTER BROOK,6255,O'Connor,,,
WA,HIGGINSVILLE,6443,O'Connor,,,
WA,HIGHBURY,6313,O'Connor,,,
WA,HILLSIDE,6312,O'Connor,,,
WA,HOLT ROCK,6355,O'Connor,,,
WA,HOPETOUN,6348,O'Connor,,,
WA,HOWICK,6450,O'Connor,,,
WA,HYDEN,6359,O'Connor,,,
WA,JACKITUP,6335,O'Connor,,,
WA,JACUP,6337,O'Connor,,,
WA,JALORAN,6315,O'Connor,,,
WA,JARDEE,6258,O'Connor,,,
WA,JELCOBINE,6306,O'Connor,,,
WA,JERDACUTTUP,6346,O'Connor,,,
...678910...,...678910...,...678910...,...678910...,...678910...,...678910...,
...,6,7,8,9,10,...
WA,JERRAMUNGUP,6337,O'Connor,,,
WA,JILAKIN,6365,O'Connor,,,
WA,JINGALUP,6395,O'Connor,,,
