State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s),Unnamed: 6
NSW,ALBERT,2873,Parkes,,,
NSW,ANGLEDOOL,2832,Parkes,,,
NSW,ARMATREE,2828,Parkes,,,
NSW,ASHLEY,2400,Parkes,,,
NSW,BAAN BAA,2390,Parkes,,,
NSW,BABINDA,2831,Parkes,,,
NSW,BALFOURS PEAK,2403,Parkes,,,
NSW,BALLADORAN,2822,Parkes,,,
NSW,BALLIMORE,2830,Parkes,,,
NSW,BANOON,2347,Parkes,,,
NSW,BARADINE,2396,Parkes,,,
NSW,BARRINGUN,2840,Parkes,,,
NSW,BARWON,2396,Parkes,,,
NSW,BEARBONG,2827,Parkes,,,
NSW,BEEMUNNEL,2824,Parkes,,,
NSW,BELLATA,2397,Parkes,,,
NSW,BENI,2830,Parkes,,,
NSW,BENOLONG,2830,Parkes,,,
NSW,BERRIGAL,2397,Parkes,,,
NSW,BIDDON,2827,Parkes,,,
12345...,12345...,12345...,12345...,12345...,12345...,
1,2,3,4,5,...,
NSW,BILLEROY,2829,Parkes,,,
NSW,BINGARA,2404,Parkes,,,
NSW,BINIGUY,2399,Parkes,,,
NSW,BINNAWAY,2395,Parkes,,,
NSW,BLACK HOLLOW,2828,Parkes,,,
NSW,BLUE NOBBY,2402,Parkes,,,
NSW,BLUE VALE,2380,Parkes,,,
NSW,BOBADAH,2877,Parkes,,,
NSW,BOGAN,2826,Parkes,,,
NSW,BOGGABILLA,2409,Parkes,,,
NSW,BOGGABRI,2382,Parkes,,,
NSW,BOHENA CREEK,2390,Parkes,,,
NSW,BOMERA,2357,Parkes,,,
NSW,BOOLCARROLL,2388,Parkes,,,
NSW,BOOMI,2405,Parkes,,,
NSW,BOONA MOUNT,2874,Parkes,,,
NSW,BOONAL,2409,Parkes,,,
NSW,BOURBAH,2828,Parkes,,,
NSW,BOURKE,2840,Parkes,,,
NSW,BOX RIDGE,2357,Parkes,,,
12345...,12345...,12345...,12345...,12345...,12345...,
1,2,3,4,5,...,
NSW,BREELONG,2827,Parkes,,,
NSW,BREEZA,2381,Parkes,,,
NSW,BREWARRINA,2839,Parkes,,,
NSW,BROCKLEHURST,2830,Parkes,,,
NSW,BROKEN HILL,2880,Parkes,,,
NSW,BROUGHAMS GATE,2880,Parkes,,,
NSW,BUDDABADAH,2825,Parkes,,,
NSW,BUGALDIE,2357,Parkes,,,
NSW,BULLA,2835,Parkes,,,
NSW,BULLAGREEN,2831,Parkes,,,
NSW,BULLARAH,2400,Parkes,,,
NSW,BULLAWA CREEK,2390,Parkes,,,
NSW,BULYEROI,2387,Parkes,,,
NSW,BUNDEMAR,2823,Parkes,,,
NSW,BURCHER,2671,Parkes,,,
NSW,BURGOONEY,2672,Parkes,,,
NSW,BURREN JUNCTION,2386,Parkes,,,
NSW,BURROWAY,2821,Parkes,,,
NSW,BYROCK,2831,Parkes,,,
NSW,CANBELEGO,2835,Parkes,,,
12345...,12345...,12345...,12345...,12345...,12345...,
1,2,3,4,5,...,
NSW,CANONBA,2825,Parkes,,,
NSW,CARINDA,2831,Parkes,,,
NSW,CAROONA,2343,Parkes,,,
NSW,CARROLL,2340,Parkes,,,
NSW,CASSILIS,2329,Parkes,,,
NSW,CATHUNDRAL,2823,Parkes,,,
NSW,COBAR,2835,Parkes,,,
NSW,COBBORA,2844,Parkes,,,
NSW,COLLARENEBRI,2833,Parkes,,,
NSW,COLLERINA,2839,Parkes,,,
NSW,COLLIE,2827,Parkes,,,
NSW,COMBARA,2829,Parkes,,,
NSW,COME BY CHANCE,2832,Parkes,,,
NSW,CONDOBOLIN,2877,Parkes,,,
NSW,CONIMBIA,2829,Parkes,,,
NSW,CONOBLE,2878,Parkes,,,
NSW,COOLABAH,2831,Parkes,,,
NSW,COOLAH,2843,Parkes,,,
NSW,COOLATAI,2402,Parkes,,,
NSW,COONABARABRAN,2357,Parkes,,,
12345...,12345...,12345...,12345...,12345...,12345...,
1,2,3,4,5,...,
NSW,COONAMBLE,2829,Parkes,,,
NSW,CORINELLA,2871,Parkes,,,
NSW,COURADDA,2390,Parkes,,,
NSW,CRABOON,2844,Parkes,,,
NSW,CROOBLE,2400,Parkes,,,
NSW,CROPPA CREEK,2411,Parkes,,,
NSW,CRYON,2832,Parkes,,,
NSW,CUBBA,2835,Parkes,,,
NSW,CUMBORAH,2832,Parkes,,,
NSW,CURBAN,2827,Parkes,,,
NSW,CURLEW WATERS,2672,Parkes,,,
NSW,CURLEWIS,2381,Parkes,,,
NSW,CUTTABRI,2388,Parkes,,,
NSW,DANDALOO,2823,Parkes,,,
NSW,DANDRY,2357,Parkes,,,
NSW,DELUNGRA,2403,Parkes,,,
NSW,DERRIWONG,2877,Parkes,,,
NSW,DRILDOOL,2386,Parkes,,,
NSW,DUBBO,2830,Parkes,,,
NSW,DUNEDOO,2844,Parkes,,,
12345...,12345...,12345...,12345...,12345...,12345...,
1,2,3,4,5,...,
NSW,EDGEROI,2390,Parkes,,,
NSW,EENAWEENA,2824,Parkes,,,
NSW,ELONG ELONG,2831,Parkes,,,
NSW,EMERALD HILL,2380,Parkes,,,
NSW,ENNGONIA,2840,Parkes,,,
NSW,EREMERANG,2877,Parkes,,,
NSW,ESCHOL,2830,Parkes,,,
NSW,EUABALONG,2877,Parkes,,,
NSW,EUABALONG WEST,2877,Parkes,,,
NSW,EULAH CREEK,2390,Parkes,,,
NSW,EUMUNGERIE,2822,Parkes,,,
NSW,FAIRHOLME,2877,Parkes,,,
NSW,FIFIELD,2875,Parkes,,,
NSW,FIVE WAYS,2873,Parkes,,,
NSW,FORDS BRIDGE,2840,Parkes,,,
NSW,FOWLERS GAP,2880,Parkes,,,
NSW,GARAH,2405,Parkes,,,
NSW,GHOOLENDAADI,2380,Parkes,,,
NSW,GILGANDRA,2827,Parkes,,,
NSW,GILGOOMA,2829,Parkes,,,
...678910...,...678910...,...678910...,...678910...,...678910...,...678910...,
...,6,7,8,9,10,...
NSW,GILGUNNIA,2835,Parkes,,,
NSW,GIN GIN,2823,Parkes,,,
NSW,GINEROI,2404,Parkes,,,
NSW,GIRILAMBONE,2831,Parkes,,,
NSW,GIRRAL,2669,Parkes,,,
NSW,GONGOLGON,2839,Parkes,,,
NSW,GOODOOGA,2838,Parkes,,,
NSW,GOOLHI,2379,Parkes,,,
NSW,GOOLMA,2852,Parkes,,,
NSW,GOONOO FOREST,2830,Parkes,,,
NSW,GOORIANAWA,2357,Parkes,,,
NSW,GOWANG,2357,Parkes,,,
NSW,GRAMAN,2360,Parkes,,,
NSW,GRAVESEND,2401,Parkes,,,
NSW,GRAWIN OPAL FIELDS,2832,Parkes,,,
NSW,GUBBATA,2669,Parkes,,NARADHAN,
NSW,GULARGAMBONE,2828,Parkes,,,
NSW,GULLIGAL,2380,Parkes,,,
NSW,GUMBALIE,2840,Parkes,,,
