State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
WA,ALKIMOS,6038,Pearce,,
WA,AVELEY,6069,Pearce,,
WA,AVON VALLEY NATIONAL PARK,6084,Pearce,,
WA,BADGIN,6302,Pearce,,
WA,BAKERS HILL,6562,Pearce,,
WA,BALLADONG,6302,Pearce,,
WA,BALLY BALLY,6304,Pearce,,
WA,BAMBUN,6503,Pearce,,
WA,BANKSIA GROVE,6031,Pearce,,
WA,BASKERVILLE,6056,Pearce,,
WA,BEERMULLAH,6503,Pearce,,
WA,BEJOORDING,6566,Pearce,,
WA,BELHUS,6069,Pearce,,
WA,BEVERLEY,6304,Pearce,,
WA,BINDOON,6502,Pearce,,
WA,BINDOON TRAINING AREA,6502,Pearce,,
WA,BOONANARRING,6503,Pearce,,
WA,BRABHAM,6055,Pearce,,
WA,BREERA,6503,Pearce,,
WA,BRETON BAY,6043,Pearce,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
WA,BRIGADOON,6069,Pearce,,
WA,BUCKLAND,6401,Pearce,,
WA,BULLSBROOK,6084,Pearce,,
WA,BURGES,6302,Pearce,,
WA,BURLONG,6401,Pearce,,
WA,BUTLER,6036,Pearce,,
WA,CALJIE,6302,Pearce,,
WA,CARABAN,6041,Pearce,,
WA,CARABOODA,6033,Pearce,,
WA,CARRAMAR,6031,Pearce,,
WA,CHITTERING,6084,Pearce,,
WA,CLACKLINE,6564,Pearce,,
WA,CLARKSON,6030,Pearce,,
WA,COLD HARBOUR,6302,Pearce,,
WA,COONABIDGEE,6503,Pearce,,
WA,COONDLE,6566,Pearce,,
WA,COPLEY,6562,Pearce,,
WA,COWALLA,6503,Pearce,,
WA,CULHAM,6566,Pearce,,
WA,CULLALLA,6503,Pearce,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
WA,DALE,6304,Pearce,,
WA,DALIAK,6302,Pearce,,
WA,DAYTON,6055,Pearce,,
WA,DEWARS POOL,6567,Pearce,,
WA,DUMBARTON,6566,Pearce,,
WA,EAST BEVERLEY,6304,Pearce,,
WA,EGLINTON,6034,Pearce,,
WA,ELLENBROOK,6069,Pearce,,
WA,FLINT,6302,Pearce,,
WA,FLYNN,6302,Pearce,,
WA,GABBADAH,6041,Pearce,,
WA,GILGERING,6302,Pearce,,
WA,GINGIN,6503,Pearce,,
WA,GINGINUP,6503,Pearce,,
WA,GRANVILLE,6503,Pearce,,
WA,GRASS VALLEY,6403,Pearce,,
WA,GREENHILLS,6302,Pearce,,
WA,GUILDERTON,6041,Pearce,,
WA,GWAMBYGINE,6302,Pearce,,
WA,HENLEY BROOK,6055,Pearce,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
WA,HERNE HILL,6056,Pearce,,
WA,HODDYS WELL,6566,Pearce,,
WA,INKPEN,6302,Pearce,,
WA,IRISHTOWN,6401,Pearce,,
WA,JENNAPULLIN,6401,Pearce,,
WA,JINDALEE,6036,Pearce,,
WA,JULIMAR,6567,Pearce,,
WA,KARAKIN,6044,Pearce,,
WA,KATRINE,6566,Pearce,,
WA,KAURING,6302,Pearce,,
WA,KOKEBY,6304,Pearce,,
WA,LANCELIN,6044,Pearce,,
WA,LEDGE POINT,6043,Pearce,,
WA,LENNARD BROOK,6503,Pearce,,
WA,LEXIA,6079,Pearce,,
WA,LOWER CHITTERING,6084,Pearce,,
WA,MALABAINE,6401,Pearce,,
WA,MALEBELLING,6302,Pearce,,
WA,MARIGINIUP,6078,Pearce,,
WA,MEENAAR,6401,Pearce,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
WA,MELALEUCA,6079,Pearce,,
WA,MERRIWA,6030,Pearce,,
WA,MIDDLE SWAN,6056,Pearce,,
WA,MILLENDON,6056,Pearce,,
WA,MINDARIE,6030,Pearce,,
WA,MINDARRA,6503,Pearce,,
WA,MOKINE,6401,Pearce,,
WA,MOOLIABEENEE,6504,Pearce,,
WA,MOONDAH,6503,Pearce,,
WA,MOONDYNE,6567,Pearce,,
WA,MOORE RIVER NATIONAL PARK,6503,Pearce,,
WA,MORANGUP,6083,Pearce,,
WA,MORBINNING,6304,Pearce,,
WA,MT HARDEY,6302,Pearce,,
WA,MT OBSERVATION,6302,Pearce,,
WA,MUCHEA,6501,Pearce,,
WA,MUCKENBURRA,6503,Pearce,,
WA,MULUCKINE,6401,Pearce,,
WA,MURESK,6401,Pearce,,
WA,NARRALOGGAN,6302,Pearce,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
