State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
WA,ASHFIELD,6054.0,Perth,,
WA,BASSENDEAN,6054.0,Perth,,
WA,BAYSWATER,6053.0,Perth,,
WA,BEDFORD,6052.0,Perth,,
WA,COOLBINIA,6050.0,Perth,,
WA,DIANELLA,6059.0,Perth,,
WA,DIANELLA HEIGHTS,6059.0,Perth,,DIANELLA
WA,EAST PERTH,6004.0,Perth,,
WA,EDEN HILL,6054.0,Perth,,
WA,EMBLETON,6062.0,Perth,,
WA,HIGHGATE,6003.0,Perth,,
WA,INGLEWOOD,6052.0,Perth,,
WA,KINGS PARK,6005.0,Perth,,
WA,LEEDERVILLE,6007.0,Perth,,
WA,MAYLANDS,6051.0,Perth,,
WA,MENORA,6050.0,Perth,,
WA,MORLEY,6062.0,Perth,,
WA,MT HAWTHORN,6016.0,Perth,,
WA,MT LAWLEY,6050.0,Perth,,
WA,NORANDA,6062.0,Perth,,
12,12,12.0,12,12.0,12
1,2,,,,
WA,NORTH PERTH,6006.0,Perth,,
WA,NORTHBRIDGE,6003.0,Perth,,
WA,OSBORNE PARK,6017.0,Perth,,
WA,PERTH,6000.0,Perth,,
WA,WEST PERTH,6005.0,Perth,,
12,12,12.0,12,12.0,12.0
1,2,,,,
