State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
QLD,ALGESTER,4115.0,Rankin,,
QLD,BERRINBA,4117.0,Rankin,,
QLD,BROWNS PLAINS,4118.0,Rankin,,
QLD,CALAMVALE,4116.0,Rankin,,
QLD,CRESTMEAD,4132.0,Rankin,,
QLD,DAISY HILL,4127.0,Rankin,,
QLD,DREWVALE,4116.0,Rankin,,
QLD,HERITAGE PARK,4118.0,Rankin,,
QLD,HILLCREST,4118.0,Rankin,,
QLD,KARAWATHA,4117.0,Rankin,,
QLD,KINGSTON,4114.0,Rankin,,
QLD,LOGAN CENTRAL,4114.0,Rankin,,
QLD,LOGANLEA,4131.0,Rankin,,
QLD,MARSDEN,4132.0,Rankin,,
QLD,MEADOWBROOK,4131.0,Rankin,,
QLD,PARKINSON,4115.0,Rankin,,
QLD,PRIESTDALE,4127.0,Rankin,,
QLD,REGENTS PARK,4118.0,Rankin,,
QLD,ROCHEDALE SOUTH,4123.0,Rankin,,
QLD,SHAILER PARK,4128.0,Rankin,,
12,12,12.0,12,12.0,12.0
1,2,,,,
QLD,SLACKS CREEK,4127.0,Rankin,,
QLD,SPRINGWOOD,4127.0,Rankin,,
QLD,STRETTON,4116.0,Rankin,,
QLD,UNDERWOOD,4119.0,Rankin,,
QLD,WOODRIDGE,4114.0,Rankin,,
12,12,12.0,12,12.0,12.0
1,2,,,,
