State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
NSW,ABBOTSFORD,2046.0,Reid,,
NSW,ASHFIELD,2131.0,Reid,,
NSW,AUBURN,2144.0,Reid,,
NSW,BREAKFAST POINT,2137.0,Reid,,
NSW,BURWOOD,2134.0,Reid,,
NSW,CABARITA,2137.0,Reid,,
NSW,CANADA BAY,2046.0,Reid,,
NSW,CHISWICK,2046.0,Reid,,
NSW,CONCORD,2137.0,Reid,,
NSW,CONCORD WEST,2138.0,Reid,,
NSW,CROYDON,2132.0,Reid,,
NSW,DRUMMOYNE,2047.0,Reid,,
NSW,FIVE DOCK,2046.0,Reid,,
NSW,FLEMINGTON,2140.0,Reid,,HOMEBUSH WEST
NSW,FLEMINGTON MARKETS,2129.0,Reid,,HOMEBUSH WEST
NSW,HOMEBUSH,2140.0,Reid,,
NSW,HOMEBUSH BAY,2127.0,Reid,,SYDNEY OLYMPIC PARK
NSW,HOMEBUSH BAY,2127.0,Reid,,WENTWORTH POINT
NSW,HOMEBUSH WEST,2140.0,Reid,,
NSW,LIBERTY GROVE,2138.0,Reid,,
12,12,12.0,12,12.0,12
1,2,,,,
NSW,LIDCOMBE,2141.0,Reid,,
NSW,MORTLAKE,2137.0,Reid,,
NSW,NEWINGTON,2127.0,Reid,,
NSW,NORTH STRATHFIELD,2137.0,Reid,,
NSW,RHODES,2138.0,Reid,,
NSW,RODD POINT,2046.0,Reid,,
NSW,RUSSELL LEA,2046.0,Reid,,
NSW,SILVERWATER,2128.0,Reid,,
NSW,SPECTACLE ISLAND,2047.0,Reid,,DRUMMOYNE
NSW,STRATHFIELD,2135.0,Reid,,
NSW,SYDNEY OLYMPIC PARK,2127.0,Reid,,
NSW,WAREEMBA,2046.0,Reid,,
NSW,WENTWORTH POINT,2127.0,Reid,,
12,12,12.0,12,12.0,12
1,2,,,,
