State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
NSW,ADJUNGBILLY,2727,Riverina,,
NSW,ALECTOWN,2870,Riverina,,
NSW,ALFREDTOWN,2650,Riverina,,
NSW,ALLEENA,2671,Riverina,,
NSW,ALMA PARK,2659,Riverina,,
NSW,ARDLETHAN,2665,Riverina,,
NSW,ARIAH PARK,2665,Riverina,,
NSW,ASHMONT,2650,Riverina,,
NSW,BACK CREEK,2671,Riverina,,
NSW,BARELLAN,2665,Riverina,,
NSW,BARMEDMAN,2668,Riverina,,
NSW,BARWANG,2587,Riverina,,
NSW,BECKOM,2665,Riverina,,
NSW,BECTRIC,2665,Riverina,,
NSW,BEDGERABONG,2871,Riverina,,
NSW,BEGGAN BEGGAN,2587,Riverina,,
NSW,BELFRAYDEN,2650,Riverina,,
NSW,BENDICK MURRELL,2803,Riverina,,
NSW,BERREMANGRA,2582,Riverina,,
NSW,BERRY JERRY,2701,Riverina,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
NSW,BERTHONG,2594,Riverina,,
NSW,BETHUNGRA,2590,Riverina,,
NSW,BIDGEEMIA,2642,Riverina,,
NSW,BIG SPRINGS,2650,Riverina,,
NSW,BILLIMARI,2804,Riverina,,
NSW,BIMBI,2810,Riverina,,
NSW,BLAND,2721,Riverina,,
NSW,BOGAN GATE,2876,Riverina,,
NSW,BOMEN,2650,Riverina,,
NSW,BOOK BOOK,2650,Riverina,,
NSW,BOOROOMA,2650,Riverina,,
NSW,BORAMBOLA,2650,Riverina,,
NSW,BOREE CREEK,2652,Riverina,,
NSW,BOURKELANDS,2650,Riverina,,
NSW,BRAWLIN,2590,Riverina,,COOTAMUNDRA
NSW,BRIBBAREE,2594,Riverina,,
NSW,BROOKDALE,2656,Riverina,,
NSW,BROOKONG,2656,Riverina,,
NSW,BRUCEDALE,2650,Riverina,,
NSW,BRUIE PLAINS,2875,Riverina,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
NSW,BULGARY,2650,Riverina,,
NSW,BULLA CREEK,2594,Riverina,,
NSW,BUMBALDRY,2794,Riverina,,
NSW,BURRA CREEK,2722,Riverina,,
NSW,BURRANDANA,2650,Riverina,,
NSW,BURRANGONG,2594,Riverina,,
NSW,CANOWINDRA,2804,Riverina,,
NSW,CARAGABAL,2810,Riverina,,
NSW,CARTWRIGHTS HILL,2650,Riverina,,
NSW,CHARLES STURT UNIVERSITY,2678,Riverina,,
NSW,COLLINGULLIE,2650,Riverina,,
NSW,COMBANING,2666,Riverina,,
NSW,COOKAMIDGERA,2870,Riverina,,
NSW,COOKS MYALLS,2870,Riverina,,
NSW,COOLAC,2727,Riverina,,
NSW,COOLAMON,2701,Riverina,,
NSW,COONEYS CREEK,2587,Riverina,,
NSW,COOTAMUNDRA,2590,Riverina,,
NSW,CORINELLA,2871,Riverina,,
NSW,COWABBIE,2652,Riverina,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
NSW,COWRA,2794,Riverina,,
NSW,CROWTHER,2803,Riverina,,
NSW,CULLIVEL,2645,Riverina,,
NSW,CUNNINGAR,2587,Riverina,,
NSW,CURRAWARNA,2650,Riverina,,
NSW,CURRAWONG,2587,Riverina,,
NSW,DARBALARA,2722,Riverina,,
NSW,DARBYS FALLS,2793,Riverina,,
NSW,DAROOBALGIE,2870,Riverina,,
NSW,DEMONDRILLE,2587,Riverina,,
NSW,DERRIWONG,2877,Riverina,,
NSW,DHULURA,2650,Riverina,,
NSW,DIRNASEER,2666,Riverina,,
NSW,DOWNSIDE,2650,Riverina,,
NSW,EAST WAGGA WAGGA,2650,Riverina,,
NSW,EDWARDSTOWN,2722,Riverina,,SOUTH GUNDAGAI
NSW,ERIN VALE,2663,Riverina,,
NSW,ESTELLA,2650,Riverina,,
NSW,EUBERTA,2650,Riverina,,
NSW,EUGOWRA,2806,Riverina,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
NSW,EUNANOREENYA,2650,Riverina,,
NSW,EURONGILLY,2663,Riverina,,
NSW,FARGUNYAH,2656,Riverina,,
NSW,FORBES,2871,Riverina,,
NSW,FOREST HILL,2651,Riverina,,
NSW,FRENCH PARK,2655,Riverina,,
NSW,GALONG,2585,Riverina,,
NSW,GALORE,2650,Riverina,,
NSW,GANMAIN,2702,Riverina,,
NSW,GAREMA,2871,Riverina,,
NSW,GELSTON PARK,2650,Riverina,,
NSW,GIDGINBUNG,2666,Riverina,,
NSW,GIRRAL,2669,Riverina,,
NSW,GLENELG,2810,Riverina,,
NSW,GLENFIELD PARK,2650,Riverina,,
NSW,GOBARRALONG,2727,Riverina,,
NSW,GOBBAGOMBALIN,2650,Riverina,,
NSW,GOOLOOGONG,2805,Riverina,,
NSW,GOONUMBLA,2870,Riverina,,
NSW,GREENETHORPE,2809,Riverina,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
