State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
NT,ALAWA,810,Solomon,,
NT,ANULA,812,Solomon,,
NT,ARCHER,830,Solomon,,
NT,BAGOT,820,Solomon,,
NT,BAKEWELL,832,Solomon,,
NT,BAYVIEW,820,Solomon,,
NT,BAYVIEW HAVEN,820,Solomon,,BAYVIEW
NT,BELLAMACK,832,Solomon,,
NT,BERRIMAH,828,Solomon,,
NT,BRINKIN,810,Solomon,,
NT,BUFFALO CREEK,810,Solomon,,
NT,CASUARINA,810,Solomon,,
NT,CITY VALLEY,820,Solomon,,WOOLNER
NT,COCONUT GROVE,810,Solomon,,
NT,COONAWARRA,820,Solomon,,
NT,CULLEN BAY,820,Solomon,,LARRAKEYAH
NT,DARWIN,800,Solomon,,
NT,DARWIN RAAF,820,Solomon,,
NT,DRIVER,830,Solomon,,
NT,DUNBAR HEIGHTS,830,Solomon,,GRAY
1234,1234,1234,1234,1234.0,1234
1,2,3,4,,
NT,DURACK,830,Solomon,,
NT,EAST ARM,822,Solomon,,
NT,EAST POINT,820,Solomon,,
NT,EATON,820,Solomon,,
NT,FAIRWAY RIDGE,830,Solomon,,DRIVER
NT,FAIRWAY WATERS,830,Solomon,,DURACK
NT,FANNIE BAY,820,Solomon,,
NT,GRAY,830,Solomon,,
NT,GUNN,832,Solomon,,
NT,JINGILI,810,Solomon,,
NT,KARAMA,812,Solomon,,
NT,KULALUK,810,Solomon,,
NT,LARRAKEYAH,820,Solomon,,
NT,LARRAKEYAH BARRACKS,820,Solomon,,
NT,LEANYER,812,Solomon,,
NT,LEE POINT,810,Solomon,,
NT,LUDMILLA,820,Solomon,,
NT,LYONS,810,Solomon,,
NT,MALAK,812,Solomon,,
NT,MARLOW LAGOON,830,Solomon,,
1234,1234,1234,1234,1234.0,1234
1,2,3,4,,
NT,MARRARA,812,Solomon,,
NT,MILLNER,810,Solomon,,
NT,MINMARAMA PARK,820,Solomon,,
NT,MOIL,810,Solomon,,
NT,MOULDEN,830,Solomon,,
NT,MUIRHEAD,810,Solomon,,
NT,NAKARA,810,Solomon,,
NT,NIGHTCLIFF,810,Solomon,,
NT,NORTHLAKES,812,Solomon,,MARRARA
NT,ONE MILE DAM,820,Solomon,,RAILWAY DAM
NT,PALMERSTON,831,Solomon,,
NT,PALMERSTON CITY,830,Solomon,,
NT,PARAP,820,Solomon,,
NT,PINELANDS,829,Solomon,,
NT,RAILWAY DAM,820,Solomon,,
NT,RAPID CREEK,810,Solomon,,
NT,ROSEBERY,832,Solomon,,
NT,SANDERSON,812,Solomon,,ANULA
NT,SANDERSON,812,Solomon,,MARRARA
NT,STUART PARK,820,Solomon,,
1234,1234,1234,1234,1234.0,1234
1,2,3,4,,
NT,SUNSET COVE,810,Solomon,,COCONUT GROVE
NT,THE CHASE,832,Solomon,,GUNN
NT,THE GARDENS,820,Solomon,,
NT,THE MEWS,830,Solomon,,DURACK
NT,THE NARROWS,820,Solomon,,
NT,TIPPERARY WATERS,820,Solomon,,STUART PARK
NT,TIVENDALE,822,Solomon,,
NT,TIWI,810,Solomon,,
NT,WAGAMAN,810,Solomon,,
NT,WANGURI,810,Solomon,,
NT,WINNELLIE,820,Solomon,,
NT,WISHART,828,Solomon,,
NT,WOODLEIGH GARDENS,812,Solomon,,LEANYER
NT,WOODROFFE,830,Solomon,,
NT,WOOLNER,820,Solomon,,
NT,WULAGI,812,Solomon,,
1234,1234,1234,1234,1234.0,1234
1,2,3,4,,
