State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
SA,ANDREWS FARM,5114,Spence,,
SA,ANGLE VALE,5117,Spence,,
SA,BIBARINGA,5118,Spence,,
SA,BLAKEVIEW,5114,Spence,,
SA,BOLIVAR,5110,Spence,,
SA,BRAHMA LODGE,5109,Spence,,
SA,BUCHFELDE,5118,Spence,,
SA,BUCKLAND PARK,5120,Spence,,
SA,BURTON,5110,Spence,,
SA,CONCORDIA,5118,Spence,,
SA,CRAIGMORE,5114,Spence,,
SA,DAVOREN PARK,5113,Spence,,
SA,DIREK,5110,Spence,,
SA,EDINBURGH,5111,Spence,,
SA,EDINBURGH NORTH,5113,Spence,,
SA,ELIZABETH,5112,Spence,,
SA,ELIZABETH DOWNS,5113,Spence,,
SA,ELIZABETH EAST,5112,Spence,,
SA,ELIZABETH GROVE,5112,Spence,,
SA,ELIZABETH NORTH,5113,Spence,,
1234,1234,1234,1234,1234.0,1234.0
1,2,3,4,,
SA,ELIZABETH PARK,5113,Spence,,
SA,ELIZABETH SOUTH,5112,Spence,,
SA,ELIZABETH VALE,5112,Spence,,
SA,EVANSTON,5116,Spence,,
SA,EVANSTON GARDENS,5116,Spence,,
SA,EVANSTON PARK,5116,Spence,,
SA,EVANSTON SOUTH,5116,Spence,,
SA,EYRE,5121,Spence,,
SA,GAWLER,5118,Spence,,
SA,GAWLER BELT,5118,Spence,,
SA,GAWLER EAST,5118,Spence,,
SA,GAWLER RIVER,5118,Spence,,
SA,GAWLER SOUTH,5118,Spence,,
SA,GAWLER WEST,5118,Spence,,
SA,GOULD CREEK,5114,Spence,,
SA,HEWETT,5118,Spence,,
SA,HILLBANK,5112,Spence,,
SA,HILLIER,5116,Spence,,
SA,HUMBUG SCRUB,5114,Spence,,
SA,KALBEEBA,5118,Spence,,
1234,1234,1234,1234,1234.0,1234.0
1,2,3,4,,
SA,KUDLA,5115,Spence,,
SA,MACDONALD PARK,5121,Spence,,
SA,MUNNO PARA,5115,Spence,,
SA,MUNNO PARA DOWNS,5115,Spence,,
SA,MUNNO PARA WEST,5115,Spence,,
SA,ONE TREE HILL,5114,Spence,,
SA,PARALOWIE,5108,Spence,,
SA,PENFIELD,5121,Spence,,
SA,PENFIELD GARDENS,5121,Spence,,
SA,REEVES PLAINS,5502,Spence,,
SA,REID,5118,Spence,,
SA,SALISBURY,5108,Spence,,
SA,SALISBURY DOWNS,5108,Spence,,
SA,SALISBURY NORTH,5108,Spence,,
SA,SALISBURY PARK,5109,Spence,,
SA,SALISBURY PLAIN,5109,Spence,,
SA,SALISBURY SOUTH,5106,Spence,,
SA,SAMPSON FLAT,5114,Spence,,
SA,SMITHFIELD,5114,Spence,,
SA,SMITHFIELD PLAINS,5114,Spence,,
1234,1234,1234,1234,1234.0,1234.0
1,2,3,4,,
SA,ST KILDA,5110,Spence,,
SA,ULEYBURY,5114,Spence,,
SA,VIRGINIA,5120,Spence,,
SA,WARD BELT,5118,Spence,,
SA,WATERLOO CORNER,5110,Spence,,
SA,WILLASTON,5118,Spence,,
SA,YATTALUNGA,5114,Spence,,
1234,1234,1234,1234,1234.0,1234.0
1,2,3,4,,
