State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
WA,BALCATTA,6021.0,Stirling,,
WA,BALGA,6061.0,Stirling,,
WA,CARINE,6020.0,Stirling,,
WA,COOLBINIA,6050.0,Stirling,,
WA,DIANELLA,6059.0,Stirling,,
WA,DIANELLA HEIGHTS,6059.0,Stirling,,DIANELLA
WA,GWELUP,6018.0,Stirling,,
WA,HAMERSLEY,6022.0,Stirling,,
WA,INGLEWOOD,6052.0,Stirling,,
WA,JOONDANNA,6060.0,Stirling,,
WA,KARRINYUP,6018.0,Stirling,,
WA,MIRRABOOKA,6061.0,Stirling,,
WA,MORLEY,6062.0,Stirling,,
WA,NOLLAMARA,6061.0,Stirling,,
WA,NORTH BEACH,6020.0,Stirling,,
WA,OSBORNE PARK,6017.0,Stirling,,
WA,SCARBOROUGH,6019.0,Stirling,,
WA,STIRLING,6021.0,Stirling,,
WA,TRIGG,6029.0,Stirling,,
WA,TUART HILL,6060.0,Stirling,,
12,12,12.0,12,12.0,12
1,2,,,,
WA,WATERMANS BAY,6020.0,Stirling,,
WA,WESTMINSTER,6061.0,Stirling,,
WA,YOKINE,6060.0,Stirling,,
12,12,12.0,12,12.0,12.0
1,2,,,,
