State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
WA,ASCOT,6104.0,Swan,,
WA,BELMONT,6104.0,Swan,,
WA,BENTLEY,6102.0,Swan,,
WA,BURSWOOD,6100.0,Swan,,
WA,CANNINGTON,6107.0,Swan,,
WA,CARLISLE,6101.0,Swan,,
WA,CLOVERDALE,6105.0,Swan,,
WA,COMO,6152.0,Swan,,
WA,EAST CANNINGTON,6107.0,Swan,,
WA,EAST VICTORIA PARK,6101.0,Swan,,
WA,FORRESTFIELD,6058.0,Swan,,
WA,HIGH WYCOMBE,6057.0,Swan,,
WA,KARAWARA,6152.0,Swan,,
WA,KENSINGTON,6151.0,Swan,,
WA,KEWDALE,6105.0,Swan,,
WA,LATHLAIN,6100.0,Swan,,
WA,MANNING,6152.0,Swan,,
WA,PERTH AIRPORT,6105.0,Swan,,
WA,QUEENS PARK,6107.0,Swan,,
WA,REDCLIFFE,6104.0,Swan,,
12,12,12.0,12,12.0,12.0
1,2,,,,
WA,RIVERVALE,6103.0,Swan,,
WA,SALTER POINT,6152.0,Swan,,
WA,SOUTH GUILDFORD,6055.0,Swan,,
WA,SOUTH PERTH,6151.0,Swan,,
WA,ST JAMES,6102.0,Swan,,
WA,VICTORIA PARK,6100.0,Swan,,
WA,WATERFORD,6152.0,Swan,,
WA,WELSHPOOL,6106.0,Swan,,
WA,WILSON,6107.0,Swan,,
12,12,12.0,12,12.0,12.0
1,2,,,,
