State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
NSW,ALEXANDRIA,2015,Sydney,,
NSW,ANNANDALE,2038,Sydney,,
NSW,BARANGAROO,2000,Sydney,,
NSW,BEACONSFIELD,2015,Sydney,,
NSW,BROADWAY,2007,Sydney,,ULTIMO
NSW,CAMPERDOWN,2050,Sydney,,
NSW,CHIPPENDALE,2008,Sydney,,
NSW,COCKATOO ISLAND,2000,Sydney,,SYDNEY
NSW,DARLINGHURST,2010,Sydney,,
NSW,DARLINGTON,2008,Sydney,,
NSW,DAWES POINT,2000,Sydney,,
NSW,EAST SYDNEY,2010,Sydney,,DARLINGHURST
NSW,ELIZABETH BAY,2011,Sydney,,
NSW,ERSKINEVILLE,2043,Sydney,,
NSW,EVELEIGH,2015,Sydney,,
NSW,FOREST LODGE,2037,Sydney,,
NSW,GLEBE,2037,Sydney,,
NSW,GPO SYDNEY,2001,Sydney,,
NSW,HAYMARKET,2000,Sydney,,
NSW,KINGS CROSS,2011,Sydney,,DARLINGHURST
123,123,123,123,123.0,123
1,2,3,,,
NSW,KINGS CROSS,2011,Sydney,,POTTS POINT
NSW,KINGS CROSS,2011,Sydney,,WOOLLOOMOOLOO
NSW,LORD HOWE ISLAND,2898,Sydney,,
NSW,MACDONALDTOWN,2042,Sydney,,NEWTOWN
NSW,MILLERS POINT,2000,Sydney,,
NSW,NEWTOWN,2042,Sydney,,
NSW,POTTS POINT,2011,Sydney,,
NSW,PYRMONT,2009,Sydney,,
NSW,REDFERN,2016,Sydney,,
NSW,ROSEBERY,2018,Sydney,,
NSW,ST PETERS,2044,Sydney,,
NSW,STANMORE,2048,Sydney,,
NSW,SURRY HILLS,2010,Sydney,,
NSW,SYDNEY,2000,Sydney,,
NSW,SYDNEY UNIVERSITY,2006,Sydney,,
NSW,TAYLOR SQUARE,2010,Sydney,,DARLINGHURST
NSW,THE ROCKS,2000,Sydney,,
NSW,ULTIMO,2007,Sydney,,
NSW,WATERLOO,2017,Sydney,,
NSW,WOOLLOOMOOLOO,2011,Sydney,,
123,123,123,123,123.0,123
1,2,3,,,
NSW,ZETLAND,2017,Sydney,,
123,123,123,123,123.0,123.0
1,2,3,,,
