State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
WA,ALFRED COVE,6154.0,Tangney,,
WA,APPLECROSS,6153.0,Tangney,,
WA,ARDROSS,6153.0,Tangney,,
WA,ATTADALE,6156.0,Tangney,,
WA,BATEMAN,6150.0,Tangney,,
WA,BICTON,6157.0,Tangney,,
WA,BOORAGOON,6154.0,Tangney,,
WA,BRENTWOOD,6153.0,Tangney,,
WA,BULL CREEK,6149.0,Tangney,,
WA,BURRENDAH,6155.0,Tangney,,WILLETTON
WA,CANNING BRIDGE,6153.0,Tangney,,APPLECROSS
WA,FERNDALE,6148.0,Tangney,,
WA,KARDINYA,6163.0,Tangney,,
WA,LEEMING,6149.0,Tangney,,
WA,LYNWOOD,6147.0,Tangney,,
WA,MELVILLE,6156.0,Tangney,,
WA,MT PLEASANT,6153.0,Tangney,,
WA,MURDOCH,6150.0,Tangney,,
WA,MYAREE,6154.0,Tangney,,
WA,PARKWOOD,6147.0,Tangney,,
12,12,12.0,12,12.0,12
1,2,,,,
WA,RIVERTON,6148.0,Tangney,,
WA,ROSSMOYNE,6148.0,Tangney,,
WA,ROSTRATA,6155.0,Tangney,,WILLETTON
WA,SHELLEY,6148.0,Tangney,,
WA,WILLAGEE,6156.0,Tangney,,
WA,WILLETTON,6155.0,Tangney,,
WA,WINTHROP,6150.0,Tangney,,
12,12,12.0,12,12.0,12
1,2,,,,
