State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s),Unnamed: 6
VIC,ALLANSFORD,3277,Wannon,,,
VIC,ALLESTREE,3305,Wannon,,,
VIC,ALVIE,3249,Wannon,,,
VIC,ARARAT,3377,Wannon,,,
VIC,ARMSTRONG,3377,Wannon,,,
VIC,AYRFORD,3268,Wannon,,,
VIC,BAHGALLAH,3312,Wannon,,,
VIC,BALINTORE,3249,Wannon,,,
VIC,BALLANGEICH,3279,Wannon,,,
VIC,BALLYROGAN,3375,Wannon,,,
VIC,BALMORAL,3407,Wannon,,,
VIC,BARONGAROOK,3249,Wannon,,,
VIC,BARONGAROOK WEST,3249,Wannon,,,
VIC,BAYINDEEN,3375,Wannon,,,
VIC,BEAUFORT,3373,Wannon,,,
VIC,BEEAC,3251,Wannon,,,
VIC,BELLELLEN,3381,Wannon,,,
VIC,BEN NEVIS,3377,Wannon,,EVERSLEY,
VIC,BERRAMBOOL,3379,Wannon,,WICKLIFFE,
VIC,BERRINGA,3351,Wannon,,,
12345...,12345...,12345...,12345...,12345...,12345...,
1,2,3,4,5,...,
VIC,BERRYBANK,3323,Wannon,,,
VIC,BESSIEBELLE,3304,Wannon,,,
VIC,BLACK RANGE,3381,Wannon,,,
VIC,BO PEEP,3351,Wannon,,,
VIC,BOCHARA,3301,Wannon,,,
VIC,BOLWARRA,3305,Wannon,,,
VIC,BOOKAAR,3260,Wannon,,,
VIC,BOORCAN,3265,Wannon,,,
VIC,BORNES HILL,3379,Wannon,,,
VIC,BOSTOCKS CREEK,3260,Wannon,,,
VIC,BRADVALE,3361,Wannon,,,
VIC,BRANXHOLME,3302,Wannon,,,
VIC,BREAKAWAY CREEK,3303,Wannon,,,
VIC,BREWSTER,3352,Wannon,,,
VIC,BRIMBOAL,3312,Wannon,,,
VIC,BRIT BRIT,3315,Wannon,,,
VIC,BROADWATER,3301,Wannon,,,
VIC,BRUCKNELL,3268,Wannon,,,
VIC,BUANGOR,3375,Wannon,,,
VIC,BUCKLEY SWAMP,3301,Wannon,,,
12345...,12345...,12345...,12345...,12345...,12345...,
1,2,3,4,5,...,
VIC,BULART,3314,Wannon,,,
VIC,BULLAHARRE,3266,Wannon,,,
VIC,BUNGADOR,3260,Wannon,,,
VIC,BURNBANK,3371,Wannon,,,
VIC,BURRUMBEET,3352,Wannon,,,
VIC,BUSHFIELD,3281,Wannon,,,
VIC,BYADUK,3301,Wannon,,,
VIC,BYADUK NORTH,3300,Wannon,,,
VIC,CAMBRIAN HILL,3352,Wannon,,,
VIC,CAMPERDOWN,3260,Wannon,,,
VIC,CAPE BRIDGEWATER,3305,Wannon,,,
VIC,CAPE CLEAR,3351,Wannon,,,
VIC,CARAMUT,3274,Wannon,,,
VIC,CARAPOOK,3312,Wannon,,,
VIC,CARNGHAM,3351,Wannon,,,
VIC,CARPENDEIT,3260,Wannon,,,
VIC,CARRANBALLAC,3361,Wannon,,,
VIC,CASHMORE,3305,Wannon,,,
VIC,CASTERTON,3311,Wannon,,,
VIC,CATHCART,3377,Wannon,,,
12345...,12345...,12345...,12345...,12345...,12345...,
1,2,3,4,5,...,
VIC,CAVENDISH,3314,Wannon,,,
VIC,CHAPPLE VALE,3239,Wannon,,,
VIC,CHATSWORTH,3379,Wannon,,,
VIC,CHEPSTOWE,3351,Wannon,,,
VIC,CHERRYPOOL,3401,Wannon,,,
VIC,CHETWYND,3312,Wannon,,,
VIC,CHOCOLYN,3260,Wannon,,,
VIC,CHUTE,3373,Wannon,,,
VIC,CLOVER FLAT,3315,Wannon,,,
VIC,COBDEN,3266,Wannon,,,
VIC,COBRICO,3266,Wannon,,,
VIC,CODRINGTON,3285,Wannon,,,
VIC,COLAC,3250,Wannon,,,
VIC,COLAC EAST,3250,Wannon,,,
VIC,COLAC WEST,3250,Wannon,,,
VIC,COLERAINE,3315,Wannon,,,
VIC,CONDAH,3303,Wannon,,,
VIC,CONDAH SWAMP,3286,Wannon,,,
VIC,COOJAR,3315,Wannon,,,
VIC,COORIEMUNGLE,3268,Wannon,,,
12345...,12345...,12345...,12345...,12345...,12345...,
1,2,3,4,5,...,
VIC,CORADJIL,3260,Wannon,,SIMPSON,
VIC,CORAGULAC,3249,Wannon,,,
VIC,CORINDHAP,3352,Wannon,,,
VIC,CORNDALE,3311,Wannon,,,
VIC,COROROOKE,3254,Wannon,,,
VIC,CORUNNUN,3249,Wannon,,,
VIC,COWLEYS CREEK,3268,Wannon,,,
VIC,CRESSY,3322,Wannon,,,
VIC,CROSS ROADS,3373,Wannon,,,
VIC,CROSSLEY,3283,Wannon,,,
VIC,CROWLANDS,3377,Wannon,,,
VIC,CROXTON EAST,3301,Wannon,,,
VIC,CUDGEE,3265,Wannon,,,
VIC,CULLA,3315,Wannon,,,
VIC,CUNDARE,3251,Wannon,,,
VIC,CUNDARE NORTH,3251,Wannon,,,
VIC,CURDIES RIVER,3268,Wannon,,,
VIC,CURDIEVALE,3268,Wannon,,,
VIC,DADSWELLS BRIDGE,3385,Wannon,,,
VIC,DARLINGTON,3271,Wannon,,,
12345...,12345...,12345...,12345...,12345...,12345...,
1,2,3,4,5,...,
VIC,DARTMOOR,3304,Wannon,,,
VIC,DEEP LEAD,3385,Wannon,,,
VIC,DENICULL CREEK,3377,Wannon,,,
VIC,DENNINGTON,3280,Wannon,,,
VIC,DEREEL,3352,Wannon,,,
VIC,DERGHOLM,3312,Wannon,,,
VIC,DERRINALLUM,3325,Wannon,,,
VIC,DIGBY,3309,Wannon,,,
VIC,DIXIE,3265,Wannon,,,
VIC,DOBIE,3377,Wannon,,,
VIC,DREEITE,3249,Wannon,,,
VIC,DREEITE SOUTH,3249,Wannon,,,
VIC,DRIK DRIK,3304,Wannon,,,
VIC,DRUMBORG,3304,Wannon,,,
VIC,DUNDONNELL,3271,Wannon,,,
VIC,DUNKELD,3294,Wannon,,,
VIC,DUNNEWORTHY,3377,Wannon,,,
VIC,DUNROBIN,3312,Wannon,,,
VIC,DURHAM LEAD,3352,Wannon,,,
VIC,DUTTON WAY,3305,Wannon,,,
...678910...,...678910...,...678910...,...678910...,...678910...,...678910...,
...,6,7,8,9,10,...
VIC,DUVERNEY,3323,Wannon,,,
VIC,ECKLIN SOUTH,3265,Wannon,,,
VIC,ELINGAMITE,3266,Wannon,,,
VIC,ELINGAMITE NORTH,3266,Wannon,,,
VIC,ELLERSLIE,3265,Wannon,,,
VIC,ELLIMINYT,3250,Wannon,,,
VIC,ELMHURST,3469,Wannon,,,
VIC,ENFIELD,3352,Wannon,,,
VIC,ENGLEFIELD,3407,Wannon,,,
VIC,ERCILDOUNE,3352,Wannon,,,
VIC,EURACK,3251,Wannon,,,
VIC,EVANSFORD,3371,Wannon,,,
VIC,EVERSLEY,3377,Wannon,,,
VIC,FOXHOW,3323,Wannon,,,
VIC,FRAMLINGHAM,3265,Wannon,,,
VIC,FRAMLINGHAM EAST,3265,Wannon,,,
VIC,FYANS CREEK,3381,Wannon,,,
VIC,GARIBALDI,3352,Wannon,,,
VIC,GARVOC,3265,Wannon,,,
VIC,GATUM,3407,Wannon,,,
...678910...,...678910...,...678910...,...678910...,...678910...,...678910...,
...,6,7,8,9,10,...
VIC,GAZETTE,3289,Wannon,,,
VIC,GELLIBRAND LOWER,3237,Wannon,,,
VIC,GERMANIA,3387,Wannon,,,
VIC,GERRIGERRUP,3289,Wannon,,,
VIC,GLENBRAE,3352,Wannon,,,
VIC,GLENFYNE,3266,Wannon,,,
VIC,GLENISLA,3314,Wannon,,,
VIC,GLENLOGIE,3469,Wannon,,,
VIC,GLENORMISTON,3265,Wannon,,GLENORMISTON NORTH,
VIC,GLENORMISTON NORTH,3265,Wannon,,,
VIC,GLENORMISTON SOUTH,3265,Wannon,,,
VIC,GLENTHOMPSON,3293,Wannon,,,
VIC,GNOTUK,3260,Wannon,,,
VIC,GOLTON SOUTH,3381,Wannon,,DADSWELLS BRIDGE,
VIC,GORAE,3305,Wannon,,,
VIC,GORAE WEST,3305,Wannon,,,
VIC,GRASSDALE,3302,Wannon,,,
VIC,GRASSMERE,3281,Wannon,,,
VIC,GRASSMERE NORTH,3282,Wannon,,GRASSMERE,
VIC,GREAT WESTERN,3374,Wannon,,,
...678910...,...678910...,...678910...,...678910...,...678910...,...678910...,
...,6,7,8,9,10,...
VIC,GREENWALD,3304,Wannon,,,
VIC,GRENVILLE,3352,Wannon,,,
VIC,GRINGEGALGONA,3315,Wannon,,,
VIC,GRITJURK,3315,Wannon,,,
VIC,HADDON,3351,Wannon,,,
VIC,HALLS GAP,3381,Wannon,,,
VIC,HAMILTON,3300,Wannon,,,
VIC,HAPPY VALLEY,3360,Wannon,,,
VIC,HARROW,3317,Wannon,,,
VIC,HAWKESDALE,3287,Wannon,,,
VIC,HEATHMERE,3305,Wannon,,,
VIC,HENSLEY PARK,3301,Wannon,,,
VIC,HENTY,3312,Wannon,,,
VIC,HEXHAM,3273,Wannon,,,
VIC,HEYTESBURY LOWER,3268,Wannon,,,
VIC,HEYWOOD,3304,Wannon,,,
VIC,HILGAY,3315,Wannon,,,
VIC,HILLCREST,3351,Wannon,,,
