State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
NSW,ASHBURY,2193.0,Watson,,
NSW,ASHFIELD,2131.0,Watson,,
NSW,BANKSTOWN,2200.0,Watson,,
NSW,BELFIELD,2191.0,Watson,,
NSW,BELMORE,2192.0,Watson,,
NSW,BEVERLY HILLS,2209.0,Watson,,
NSW,BURWOOD HEIGHTS,2136.0,Watson,,
NSW,CAMPSIE,2194.0,Watson,,
NSW,CANTERBURY,2193.0,Watson,,
NSW,CHULLORA,2190.0,Watson,,
NSW,CROYDON,2132.0,Watson,,
NSW,CROYDON PARK,2133.0,Watson,,
NSW,ENFIELD,2136.0,Watson,,
NSW,GREENACRE,2190.0,Watson,,
NSW,HURLSTONE PARK,2193.0,Watson,,
NSW,KINGSGROVE,2208.0,Watson,,
NSW,LAKEMBA,2195.0,Watson,,
NSW,LIDCOMBE,2141.0,Watson,,
NSW,MOUNT LEWIS,2190.0,Watson,,
NSW,NARWEE,2209.0,Watson,,
12,12,12.0,12,12.0,12.0
1,2,,,,
NSW,PADSTOW,2211.0,Watson,,
NSW,PUNCHBOWL,2196.0,Watson,,
NSW,RIVERWOOD,2210.0,Watson,,
NSW,ROOKWOOD,2141.0,Watson,,
NSW,ROSELANDS,2196.0,Watson,,
NSW,STRATHFIELD SOUTH,2136.0,Watson,,
NSW,SUMMER HILL,2130.0,Watson,,
NSW,WILEY PARK,2195.0,Watson,,
NSW,YAGOONA,2199.0,Watson,,
12,12,12.0,12,12.0,12.0
1,2,,,,
