State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
NSW,BELLEVUE HILL,2023.0,Wentworth,,
NSW,BEN BUCKLER,2026.0,Wentworth,,NORTH BONDI
NSW,BONDI,2026.0,Wentworth,,
NSW,BONDI BEACH,2026.0,Wentworth,,
NSW,BONDI JUNCTION,2022.0,Wentworth,,
NSW,BRONTE,2024.0,Wentworth,,
NSW,CENTENNIAL PARK,2021.0,Wentworth,,
NSW,CLOVELLY,2031.0,Wentworth,,
NSW,DARLING POINT,2027.0,Wentworth,,
NSW,DARLINGHURST,2010.0,Wentworth,,
NSW,DIAMOND BAY,2030.0,Wentworth,,VAUCLUSE
NSW,DOUBLE BAY,2028.0,Wentworth,,
NSW,DOVER HEIGHTS,2030.0,Wentworth,,
NSW,EAST SYDNEY,2010.0,Wentworth,,DARLINGHURST
NSW,EDGECLIFF,2027.0,Wentworth,,
NSW,ELIZABETH BAY,2011.0,Wentworth,,
NSW,KINGS CROSS,2011.0,Wentworth,,DARLINGHURST
NSW,KINGS CROSS,2011.0,Wentworth,,POTTS POINT
NSW,MOORE PARK,2021.0,Wentworth,,
NSW,NORTH BONDI,2026.0,Wentworth,,
12,12,12.0,12,12.0,12
1,2,,,,
NSW,PADDINGTON,2021.0,Wentworth,,
NSW,POINT PIPER,2027.0,Wentworth,,
NSW,POTTS POINT,2011.0,Wentworth,,
NSW,QUEENS PARK,2022.0,Wentworth,,
NSW,RANDWICK,2031.0,Wentworth,,
NSW,ROSE BAY,2029.0,Wentworth,,
NSW,RUSHCUTTERS BAY,2011.0,Wentworth,,
NSW,TAMARAMA,2026.0,Wentworth,,
NSW,TAYLOR SQUARE,2010.0,Wentworth,,DARLINGHURST
NSW,VAUCLUSE,2030.0,Wentworth,,
NSW,WATSONS BAY,2030.0,Wentworth,,
NSW,WAVERLEY,2024.0,Wentworth,,
NSW,WOOLLAHRA,2025.0,Wentworth,,
12,12,12.0,12,12.0,12
1,2,,,,
