State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
NSW,ASHCROFT,2168.0,Werriwa,,
NSW,AUSTRAL,2179.0,Werriwa,,
NSW,BADGERYS CREEK,2555.0,Werriwa,,
NSW,BARDIA,2565.0,Werriwa,,
NSW,BONNYRIGG,2177.0,Werriwa,,
NSW,BONNYRIGG HEIGHTS,2177.0,Werriwa,,
NSW,BRINGELLY,2556.0,Werriwa,,
NSW,BUSBY,2168.0,Werriwa,,
NSW,CARNES HILL,2171.0,Werriwa,,
NSW,CARTWRIGHT,2168.0,Werriwa,,
NSW,CASULA,2170.0,Werriwa,,
NSW,CECIL HILLS,2171.0,Werriwa,,
NSW,CECIL PARK,2178.0,Werriwa,,
NSW,CROSS ROADS,2170.0,Werriwa,,CASULA
NSW,DENHAM COURT,2565.0,Werriwa,,
NSW,EDMONDSON PARK,2174.0,Werriwa,,
NSW,ELIZABETH HILLS,2171.0,Werriwa,,
NSW,GLENFIELD,2167.0,Werriwa,,
NSW,GREEN VALLEY,2168.0,Werriwa,,
NSW,HECKENBERG,2168.0,Werriwa,,
12,12,12.0,12,12.0,12
1,2,,,,
NSW,HINCHINBROOK,2168.0,Werriwa,,
NSW,HORNINGSEA PARK,2171.0,Werriwa,,
NSW,HOXTON PARK,2171.0,Werriwa,,
NSW,INGLEBURN,2565.0,Werriwa,,
NSW,KEMPS CREEK,2178.0,Werriwa,,
NSW,LEPPINGTON,2179.0,Werriwa,,
NSW,LONG POINT,2564.0,Werriwa,,
NSW,LURNEA,2170.0,Werriwa,,
NSW,MACQUARIE FIELDS,2564.0,Werriwa,,
NSW,MACQUARIE LINKS,2565.0,Werriwa,,
NSW,MIDDLETON GRANGE,2171.0,Werriwa,,
NSW,MILLER,2168.0,Werriwa,,
NSW,MOUNT PRITCHARD,2170.0,Werriwa,,
NSW,PRESTONS,2170.0,Werriwa,,
NSW,ROSSMORE,2557.0,Werriwa,,
NSW,SADLEIR,2168.0,Werriwa,,
NSW,WEST HOXTON,2171.0,Werriwa,,
12,12,12.0,12,12.0,12.0
1,2,,,,
