State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
VIC,BRUNSWICK,3056,Wills,,
VIC,BRUNSWICK EAST,3057,Wills,,
VIC,BRUNSWICK WEST,3055,Wills,,
VIC,COBURG,3058,Wills,,
VIC,COBURG NORTH,3058,Wills,,
VIC,FAWKNER,3060,Wills,,
VIC,FITZROY NORTH,3068,Wills,,
VIC,GLENROY,3046,Wills,,
VIC,HADFIELD,3046,Wills,,
VIC,JEWELL,3056,Wills,,BRUNSWICK
VIC,MERLYNSTON,3058,Wills,,COBURG
VIC,MORELAND,3058,Wills,,BRUNSWICK
VIC,MORELAND,3058,Wills,,COBURG
VIC,NORTH FITZROY,3068,Wills,,FITZROY NORTH
VIC,OAK PARK,3046,Wills,,
VIC,PASCOE VALE,3044,Wills,,
VIC,PASCOE VALE SOUTH,3044,Wills,,
VIC,SUMNER,3057,Wills,,BRUNSWICK EAST
