State,Locality/Suburb,Postcode,Electorate,Redistributed Electorate,Other Locality(s)
QLD,ADARE,4343,Wright,,
QLD,ADVANCETOWN,4211,Wright,,
QLD,ALLANDALE,4310,Wright,,
QLD,ALLENVIEW,4285,Wright,,
QLD,ANTHONY,4310,Wright,,
QLD,ARATULA,4309,Wright,,
QLD,AUSTINVILLE,4213,Wright,,
QLD,BALLARD,4352,Wright,,
QLD,BARNEY VIEW,4287,Wright,,
QLD,BEAUDESERT,4285,Wright,,
QLD,BEECHMONT,4211,Wright,,
QLD,BENOBBLE,4275,Wright,,
QLD,BIDDADDABA,4275,Wright,,
QLD,BINNA BURRA,4211,Wright,,
QLD,BIRNAM,4285,Wright,,
QLD,BLACK DUCK CREEK,4343,Wright,,
QLD,BLANCHVIEW,4352,Wright,,
QLD,BLANTYRE,4310,Wright,,
QLD,BLENHEIM,4341,Wright,,
QLD,BONOGIN,4213,Wright,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
QLD,BOONAH,4310,Wright,,
QLD,BOYLAND,4275,Wright,,
QLD,BRIGHTVIEW,4311,Wright,,
QLD,BROMELTON,4285,Wright,,
QLD,BUARABA SOUTH,4311,Wright,,
QLD,BUCCAN,4207,Wright,,
QLD,BUNBURRA,4310,Wright,,
QLD,BUNJURGEN,4310,Wright,,
QLD,BURNETT CREEK,4310,Wright,,
QLD,CAFFEY,4343,Wright,,
QLD,CAINBABLE,4285,Wright,,
QLD,CANNON CREEK,4310,Wright,,
QLD,CANUNGRA,4275,Wright,,
QLD,CARNEYS CREEK,4310,Wright,,
QLD,CARPENDALE,4344,Wright,,
QLD,CEDAR CREEK,4207,Wright,,
QLD,CEDAR GROVE,4285,Wright,,
QLD,CEDAR VALE,4285,Wright,,
QLD,CHARLWOOD,4309,Wright,,
QLD,CHINGHEE CREEK,4285,Wright,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
QLD,CHRISTMAS CREEK,4285,Wright,,
QLD,CHURCHABLE,4311,Wright,,
QLD,CLAGIRABA,4211,Wright,,
QLD,CLUMBER,4309,Wright,,
QLD,COLEYVILLE,4307,Wright,,
QLD,COLLEGE VIEW,4343,Wright,,
QLD,COOCHIN,4310,Wright,,
QLD,COULSON,4310,Wright,,
QLD,CROFTBY,4310,Wright,,
QLD,CROWLEY VALE,4342,Wright,,
QLD,CRYNA,4285,Wright,,
QLD,DARLINGTON,4285,Wright,,
QLD,DERRYMORE,4352,Wright,,
QLD,DUGANDAN,4310,Wright,,
QLD,EAGLE HEIGHTS,4271,Wright,,TAMBORINE MOUNTAIN
QLD,EAST HALDON,4343,Wright,,
QLD,EGYPT,4344,Wright,,
QLD,FASSIFERN,4309,Wright,,
QLD,FASSIFERN VALLEY,4309,Wright,,
QLD,FERNY GLEN,4275,Wright,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
QLD,FIFTEEN MILE,4352,Wright,,
QLD,FLAGSTONE,4280,Wright,,
QLD,FLAGSTONE CREEK,4344,Wright,,
QLD,FLINDERS LAKES,4285,Wright,,
QLD,FLYING FOX,4275,Wright,,
QLD,FORDSDALE,4343,Wright,,
QLD,FOREST HILL,4342,Wright,,
QLD,FORESTDALE,4118,Wright,,
QLD,FRAZERVIEW,4309,Wright,,
QLD,FRENCHES CREEK,4310,Wright,,
QLD,GATTON,4343,Wright,,
QLD,GILSTON,4211,Wright,,
QLD,GLEN CAIRN,4342,Wright,,
QLD,GLENEAGLE,4285,Wright,,
QLD,GLENLOGAN,4280,Wright,,
QLD,GLENORE GROVE,4342,Wright,,
QLD,GRANTHAM,4347,Wright,,
QLD,GREENBANK,4124,Wright,,
QLD,GUANABA,4210,Wright,,
QLD,HARRISVILLE,4307,Wright,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
QLD,HATTON VALE,4341,Wright,,
QLD,HELIDON,4344,Wright,,
QLD,HELIDON SPA,4344,Wright,,
QLD,HIGHLAND PARK,4211,Wright,,
QLD,HILLVIEW,4285,Wright,,
QLD,HOYA,4310,Wright,,
QLD,ILLINBAH,4275,Wright,,
QLD,INGOLDSBY,4343,Wright,,
QLD,INNISPLAIN,4285,Wright,,
QLD,IREDALE,4344,Wright,,
QLD,JIMBOOMBA,4280,Wright,,
QLD,JOSEPHVILLE,4285,Wright,,
QLD,JUNCTION VIEW,4343,Wright,,
QLD,KAGARU,4285,Wright,,
QLD,KAIRABAH,4207,Wright,,
QLD,KALBAR,4309,Wright,,
QLD,KENSINGTON GROVE,4341,Wright,,
QLD,KENTS LAGOON,4309,Wright,,
QLD,KENTS POCKET,4310,Wright,,
QLD,KENTVILLE,4341,Wright,,
12345...,12345...,12345...,12345...,12345...,12345...
1,2,3,4,5,...
