id,electorate
1,Adelaide
2,Aston
3,Ballarat
4,Banks
5,Barker
6,Barton
7,Bass
8,Bean
9,Bendigo
10,Bennelong
11,Berowra
12,Blair
13,Blaxland
14,Bonner
15,Boothby
16,Bowman
17,Braddon
18,Bradfield
19,Brand
20,Brisbane
21,Bruce
22,Burt
23,Calare
24,Calwell
25,Canberra
26,Canning
27,Capricornia
28,Casey
29,Chifley
30,Chisholm
31,Clark
32,Cook
33,Cooper
34,Corangamite
35,Corio
36,Cowan
37,Cowper
38,Cunningham
39,Curtin
40,Dawson
41,Deakin
42,Dickson
43,Dobell
44,Dunkley
45,Durack
46,Eden-Monaro
47,Fadden
48,Fairfax
49,Farrer
50,Fenner
51,Fisher
52,Flinders
53,Flynn
54,Forde
55,Forrest
56,Fowler
57,Franklin
58,Fraser
59,Fremantle
60,Gellibrand
61,Gilmore
62,Gippsland
63,Goldstein
64,Gorton
65,Grayndler
66,Greenway
67,Grey
68,Griffith
69,Groom
70,Hasluck
71,Herbert
72,Higgins
73,Hindmarsh
74,Hinkler
75,Holt
76,Hotham
77,Hughes
78,Hume
79,Hunter
80,Indi
81,Isaacs
82,Jagajaga
83,Kennedy
84,Kingsford Smith
85,Kingston
86,Kooyong
87,La Trobe
88,Lalor
89,Leichhardt
90,Lilley
91,Lindsay
92,Lingiari
93,Longman
94,Lyne
95,Lyons
96,Macarthur
97,Mackellar
98,Macnamara
99,Macquarie
100,Makin
101,Mallee
102,Maranoa
103,Maribyrnong
104,Mayo
105,McEwen
106,McMahon
107,McPherson
108,Melbourne
109,Menzies
110,Mitchell
111,Monash
112,Moncrieff
113,Moore
114,Moreton
115,New England
116,Newcastle
117,Nicholls
118,North Sydney
119,O'Connor
120,Oxley
121,Page
122,Parkes
123,Parramatta
124,Paterson
125,Pearce
126,Perth
127,Petrie
128,Rankin
129,Reid
130,Richmond
131,Riverina
132,Robertson
133,Ryan
134,Scullin
135,Shortland
136,Solomon
137,Spence
138,Stirling
139,Sturt
140,Swan
141,Sydney
142,Tangney
143,Wannon
144,Warringah
145,Watson
146,Wentworth
147,Werriwa
148,Whitlam
149,Wide Bay
150,Wills
151,Wright
