id,postcode
1,0801
2,0820
3,0821
4,0822
5,0828
6,0829
7,0830
8,0831
9,0832
10,0834
11,0835
12,0836
13,0837
14,0838
15,0839
16,0840
17,0841
18,0845
19,0846
20,0847
21,0850
22,0851
23,0852
24,0853
25,0854
26,0860
27,0862
28,0870
29,0871
30,0872
31,0873
32,0875
33,0880
34,0885
35,0886
36,2000
37,2001
38,2006
39,2007
40,2008
41,2009
42,2010
43,2011
44,2015
45,2016
46,2017
47,2018
48,2019
49,2020
50,2021
51,2022
52,2023
53,2024
54,2025
55,2026
56,2027
57,2028
58,2029
59,2030
60,2031
61,2032
62,2033
63,2034
64,2035
65,2036
66,2037
67,2038
68,2039
69,2040
70,2041
71,2042
72,2043
73,2044
74,2045
75,2046
76,2047
77,2048
78,2049
79,2050
80,2052
81,2060
82,2061
83,2062
84,2063
85,2064
86,2065
87,2066
88,2067
89,2068
90,2069
91,2070
92,2071
93,2072
94,2073
95,2074
96,2075
97,2076
98,2077
99,2079
100,2080
101,2081
102,2082
103,2083
104,2084
105,2085
106,2086
107,2087
108,2088
109,2089
110,2090
111,2092
112,2093
113,2094
114,2095
115,2096
116,2097
117,2099
118,2100
119,2101
120,2102
121,2103
122,2104
123,2105
124,2106
125,2107
126,2108
127,2110
128,2111
129,2112
130,2113
131,2114
132,2115
133,2116
134,2117
135,2118
136,2119
137,2120
138,2121
139,2122
140,2125
141,2126
142,2127
143,2128
144,2129
145,2130
146,2131
147,2132
148,2133
149,2134
150,2135
151,2136
152,2137
153,2138
154,2140
155,2141
156,2142
157,2143
158,2144
159,2145
160,2146
161,2147
162,2148
163,2150
164,2151
165,2152
166,2153
167,2154
168,2155
169,2156
170,2157
171,2158
172,2159
173,2160
174,2161
175,2162
176,2163
177,2164
178,2165
179,2166
180,2167
181,2168
182,2170
183,2171
184,2172
185,2173
186,2174
187,2175
188,2176
189,2177
190,2178
191,2179
192,2190
193,2191
194,2192
195,2193
196,2194
197,2195
198,2196
199,2197
200,2198
201,2199
202,2200
203,2203
204,2204
205,2205
206,2206
207,2207
208,2208
209,2209
210,2210
211,2211
212,2212
213,2213
214,2214
215,2216
216,2217
217,2218
218,2219
219,2220
220,2221
221,2222
222,2223
223,2224
224,2225
225,2226
226,2227
227,2228
228,2229
229,2230
230,2231
231,2232
232,2233
233,2234
234,2250
235,2251
236,2256
237,2257
238,2258
239,2259
240,2260
241,2261
242,2262
243,2263
244,2264
245,2265
246,2267
247,2278
248,2280
249,2281
250,2282
251,2283
252,2284
253,2285
254,2286
255,2287
256,2289
257,2290
258,2291
259,2292
260,2293
261,2294
262,2295
263,2296
264,2297
265,2298
266,2299
267,2300
268,2302
269,2303
270,2304
271,2305
272,2306
273,2307
274,2308
275,2311
276,2312
277,2314
278,2315
279,2316
280,2317
281,2318
282,2319
283,2320
284,2321
285,2322
286,2323
287,2324
288,2325
289,2326
290,2327
291,2328
292,2329
293,2330
294,2331
295,2333
296,2334
297,2335
298,2336
299,2337
300,2338
301,2339
302,2340
303,2341
304,2342
305,2343
306,2344
307,2345
308,2346
309,2347
310,2350
311,2351
312,2352
313,2353
314,2354
315,2355
316,2356
317,2357
318,2358
319,2359
320,2360
321,2361
322,2365
323,2369
324,2370
325,2371
326,2372
327,2379
328,2380
329,2381
330,2382
331,2386
332,2387
333,2388
334,2390
335,2395
336,2396
337,2397
338,2398
339,2399
340,2400
341,2401
342,2402
343,2403
344,2404
345,2405
346,2406
347,2408
348,2409
349,2410
350,2411
351,2415
352,2420
353,2421
354,2422
355,2423
356,2424
357,2425
358,2426
359,2427
360,2428
361,2429
362,2430
363,2431
364,2439
365,2440
366,2441
367,2443
368,2444
369,2445
370,2446
371,2447
372,2448
373,2449
374,2450
375,2452
376,2453
377,2454
378,2455
379,2456
380,2460
381,2462
382,2463
383,2464
384,2465
385,2466
386,2469
387,2470
388,2471
389,2472
390,2473
391,2474
392,2475
393,2476
394,2477
395,2478
396,2479
397,2480
398,2481
399,2482
400,2483
401,2484
402,2485
403,2486
404,2487
405,2488
406,2489
407,2490
408,2500
409,2502
410,2505
411,2506
412,2508
413,2515
414,2516
415,2517
416,2518
417,2519
418,2525
419,2526
420,2527
421,2528
422,2529
423,2530
424,2533
425,2534
426,2535
427,2536
428,2537
429,2538
430,2539
431,2540
432,2541
433,2545
434,2546
435,2548
436,2549
437,2550
438,2551
439,2555
440,2556
441,2557
442,2558
443,2559
444,2560
445,2563
446,2564
447,2565
448,2566
449,2567
450,2568
451,2569
452,2570
453,2571
454,2572
455,2573
456,2574
457,2575
458,2576
459,2577
460,2578
461,2579
462,2580
463,2581
464,2582
465,2583
466,2584
467,2585
468,2586
469,2587
470,2588
471,2590
472,2594
473,2600
474,2601
475,2602
476,2603
477,2604
478,2605
479,2606
480,2607
481,2609
482,2611
483,2612
484,2614
485,2615
486,2617
487,2618
488,2619
489,2620
490,2621
491,2622
492,2623
493,2624
494,2625
495,2626
496,2627
497,2628
498,2629
499,2630
500,2631
501,2632
502,2633
503,2640
504,2641
505,2642
506,2643
507,2644
508,2645
509,2646
510,2647
511,2648
512,2649
513,2650
514,2651
515,2652
516,2653
517,2655
518,2656
519,2658
520,2659
521,2660
522,2661
523,2663
524,2665
525,2666
526,2668
527,2669
528,2671
529,2672
530,2675
531,2678
532,2680
533,2681
534,2700
535,2701
536,2702
537,2703
538,2705
539,2706
540,2707
541,2710
542,2711
543,2712
544,2713
545,2714
546,2715
547,2716
548,2717
549,2720
550,2721
551,2722
552,2725
553,2726
554,2727
555,2729
556,2730
557,2731
558,2732
559,2733
560,2734
561,2735
562,2736
563,2737
564,2738
565,2739
566,2745
567,2747
568,2748
569,2749
570,2750
571,2752
572,2753
573,2754
574,2755
