id,name_first,name_last,electorate_id,party_id
6,Anthony,Albanese,65,2
13,Kevin,Andrews,109,8
40,Sharon,Bird,38,2
69,Tony,Burke,145,2
74,Anthony,Byrne,75,2
106,Jason,Clare,13,2
115,Julie,Collins,57,2
149,Mark,Dreyfus,81,2
154,Peter,Dutton,42,8
160,Justine,Elliot,130,2
187,Joel,Fitzgibbon,79,2
242,Alex,Hawke,110,8
270,Greg,Hunt,52,8
275,Steve,Irons,140,8
318,Catherine,King,3,2
324,Andrew,Laming,16,8
332,Sussan,Ley,49,8
351,Nola,Marino,55,8
353,Richard,Marles,35,2
388,Scott,Morrison,32,8
400,Shayne,Neumann,12,2
408,Brendan,O'Connor,64,2
414,Julie,Owens,123,2
418,Graham,Perrett,114,2
419,Tanya,Plibersek,141,2
430,Rowan,Ramsey,67,8
441,Amanda,Rishworth,85,2
443,Stuart,Robert,47,8
476,Bill,Shorten,103,2
494,Warren,Snowdon,92,2
533,Maria,Vamvakinou,24,2
563,Tony,Zappia,100,2
567,Darren,Chester,62,9
587,Paul,Fletcher,18,8
590,George,Christensen,40,9
592,Ken,O'Dowd,53,9
593,Bert,Van Manen,54,8
594,Ken,Wyatt,70,8
596,Warren,Entsch,89,8
599,Rob,Mitchell,105,2
600,Adam,Bandt,108,1
607,Josh,Frydenberg,86,8
608,Dan,Tehan,143,8
609,Michael,McCormack,131,9
610,Chris,Hayes,56,2
612,Karen,Andrews,107,8
615,Alan,Tudge,2,8
616,Ed,Husic,29,2
617,Craig,Kelly,77,8
618,Michelle,Rowland,66,2
623,Chris,Bowen,106,2
624,Scott,Buchholz,151,8
626,Ross,Vasta,14,8
634,David,Coleman,4,8
635,Tony,Pasin,5,8
639,Lisa,Chesters,9,2
641,Michelle,Landry,27,9
644,Michael,Sukkar,41,8
646,Melissa,Price,45,8
649,Tim,Watts,60,2
652,Keith,Pitt,74,9
653,Clare,O'Neil,76,2
654,Angus,Taylor,78,8
656,Matt,Thistlethwaite,84,2
657,Jason,Wood,87,8
658,Joanne,Ryan,88,2
660,David,Gillespie,94,9
663,Ian,Goodenough,113,8
665,Sharon,Claydon,116,2
666,Rick,Wilson,119,8
667,Kevin,Hogan,121,9
668,Christian,Porter,125,8
670,Luke,Howarth,127,8
671,Jim,Chalmers,128,2
673,Lucy,Wicks,132,8
674,Andrew,Giles,134,2
678,Terri,Butler,68,2
680,Tony,Smith,28,10
681,Andrew,Hastie,26,8
682,Trent,Zimmerman,118,8
683,Linda,Burney,6,2
686,Matt,Keogh,22,2
688,Anne,Aly,36,2
689,Emma,McBride,43,2
690,Mike,Kelly,46,2
691,Ted,O'Brien,48,8
696,Brian,Mitchell,95,2
697,Mike,Freelander,96,2
698,Susan,Templeman,99,2
701,Meryl,Swanson,124,2
702,Luke,Gosling,136,2
703,Jason,Falinski,97,8
705,Milton,Dick,120,2
706,Trevor,Evans,20,8
707,Nicolle,Flint,15,8
708,Andrew,Gee,23,9
709,Madeleine,King,19,2
710,Julian,Hill,21,2
711,Pat,Conroy,135,2
712,Ben,Morton,142,8
713,Peter,Khalil,150,2
714,Julian,Leeser,11,8
715,John,McVeigh,69,8
716,David,Littleproud,102,9
718,Llew,O'Brien,149,9
720,Tim,Wilson,63,8
721,Anne,Stanley,147,2
722,Andrew,Wallace,51,8
723,Andrew,Leigh,50,2
724,Stephen,Jones,148,2
725,Mark,Coulton,122,3
726,Bob,Katter,83,6
727,Barnaby,Joyce,115,9
728,John,Alexander,10,8
730,Patrick,Gorman,126,2
735,Rebekha,Sharkie,104,4
736,Josh,Wilson,59,2
739,Bridget,Archer,7,8
740,Gavin,Pearce,17,8
741,Alicia,Payne,25,2
742,Gladys,Liu,30,8
743,Libby,Coker,34,2
744,Pat,Conaghan,37,9
745,Celia,Hammond,39,8
746,Peta,Murphy,44,2
747,Daniel,Mulino,58,2
748,Fiona,Phillips,61,2
749,Phillip,Thompson,71,7
750,Katie,Allen,72,8
751,Helen,Haines,80,5
752,Kate,Thwaites,82,2
753,Anika,Wells,90,2
754,Melissa,McIntosh,91,8
755,Terry,Young,93,7
756,Josh,Burns,98,2
757,Anne,Webster,101,9
758,Angie,Bell,112,7
759,Fiona,Martin,129,8
760,Julian,Simmonds,133,7
761,Vince,Connelly,138,8
762,James,Stevens,139,8
763,Zali,Steggall,144,5
764,Dave,Sharma,146,8
765,Steve,Georganas,1,2
766,Russell,Broadbent,111,8
767,Mark,Butler,73,2
768,Nick,Champion,137,2
769,Andrew,Wilkie,31,5
770,Damian,Drum,117,9
771,Ged,Kearney,33,2
772,David,Smith,8,2
